CRPName,CID,Party,DistIDRunFor,State,District,Name
"Arnold, David",N00031949,3,MO02,MO,2,David Arnold
"Arnold, Keith",N00030295,I,WA08,WA,8,Keith Arnold
"Arnold-Jones, Janice",N00033403,R,NM01,NM,1,Janice Arnold-Jones
"Aronoff, Phillip",N00042286,R,TX29,TX,29,Phillip Aronoff
"Arora, Harry",N00042089,R,CT04,CT,4,Harry Arora
"Arpaio, Joe",N00042556,R,AZS2,AZ,S2,Joe Arpaio
"Arras, Jennifer O'Farrill",N00042600,D,AL01,AL,1,Jennifer O'Farrill Arras
"Arredondo-Lynch, Alma",N00041602,R,TX23,TX,23,Alma Arredondo-Lynch
"Arrington, Jodey",N00038285,R,TX19,TX,19,Jodey Arrington
"Arrington, Katherine",N00041593,R,SC01,SC,1,Katherine Arrington
"Arroyave, Nathan",N00040704,D,IL16,IL,16,Nathan Arroyave
"Ashby, Joseph",N00040716,R,KS04,KS,4,Joseph Ashby
"Ashby, Ken",N00005697,L,TX04,TX,4,Ken Ashby
"Ashford, Brad",N00005293,D,NE02,NE,2,Brad Ashford
"Athey, Ted",N00040378,I,MD06,MD,6,Ted Athey
"Aubin, Mark-Christian",N00039636,R,NY11,NY,11,Mark-Christian Aubin
"Auman, Lee",N00042373,D,AL04,AL,4,Lee Auman
"Austin, Tony",N00042819,D,HI02,HI,2,Tony Austin
"Austin, Trudy A",N00043568,I,TNS1,TN,S1,Trudy A Austin
"Austinson, John Wayne",N00041359,D,MN01,MN,1,John Wayne Austinson
"Auxier, Randy",N00042425,3,IL12,IL,12,Randy Auxier
"Awgowhat, Leo",N00043537,I,TN09,TN,9,Leo Awgowhat
"Axne, Cindy",N00041104,D,IA03,IA,3,Cindy Axne
"Aycox, Kevin",N00043030,D,MS03,MS,3,Kevin Aycox
"Ayers, Cynthia",N00041288,R,PAS2,PA,S2,Cynthia Ayers
"Ayyadurai, Shiva",N00041034,I,MAS1,MA,S1,Shiva Ayyadurai
"Ayyas, Shadi",N00042731,D,VA10,VA,10,Shadi Ayyas
"Azumah, Joel",N00036877,3,NY09,NY,9,Joel Azumah
"Baake, David",N00041374,D,NM02,NM,2,David Baake
"Babin, Brian",N00005736,R,TX36,TX,36,Brian Babin
"Baca, Joe",N00007089,D,CA35,CA,35,Joe Baca
"Bacher, Steve",N00042205,D,PA01,PA,1,Steve Bacher
"Bacon, Donald John",N00037049,R,NE02,NE,2,Donald John Bacon
"Bacon, Kevin",N00042198,R,OH12,OH,12,Kevin Bacon
"Badey, George",N00034281,D,PA05,PA,5,George Badey
"Baer, Dan",N00041559,D,CO07,CO,7,Dan Baer
"Baer, Lauren",N00041785,D,FL18,FL,18,Lauren Baer
"Bailey, Bill",N00041741,D,TNS1,TN,S1,Bill Bailey
"Bailey, Tom",N00043179,L,NC13,NC,13,Tom Bailey
"Baird, Jim",N00041954,R,IN04,IN,4,Jim Baird
"Bakari, Kamau",N00036336,3,NVS1,NV,S1,Kamau Bakari
"Baker, Melina",N00042950,L,TX32,TX,32,Melina Baker
"Baker, Scott Allen 1972",N00042057,R,AZ08,AZ,8,Scott Allen 1972 Baker
"Balaguer, Ariadna",N00042098,R,FL27,FL,27,Ariadna Balaguer
"Balat, David",N00040763,R,TX02,TX,2,David Balat
"Balchunis, Mary Ellen",N00036368,D,PA05,PA,5,Mary Ellen Balchunis
"Balderson, Troy",N00042194,R,OH12,OH,12,Troy Balderson
"Baldwin, Tammy",N00004367,D,WIS1,WI,S1,Tammy Baldwin
"Ball, Dan",N00041761,R,CA36,CA,36,Dan Ball
"Ball, Jody",N00039837,R,TN05,TN,5,Jody Ball
"Ballinger, Jeffrey",N00043599,D,MA03,MA,3,Jeffrey Ballinger
"Ballock, Thomas",N00042122,I,IN04,IN,4,Thomas Ballock
"Balter, Dana",N00041854,D,NY24,NY,24,Dana Balter
"Banks, Jim",N00037185,R,IN03,IN,3,Jim Banks
"Banks, Jim",N00041457,R,NY27,NY,27,Jim Banks
"Banyas, Mickie Lou",N00043253,R,TN01,TN,1,Mickie Lou Banyas
"Barajas, Ricky",N00043218,D,OR01,OR,1,Ricky Barajas
"Barash, Yona",N00041754,R,CA07,CA,7,Yona Barash
"Bardel, Hank",N00025804,3,NY11,NY,11,Hank Bardel
"Baria, David Wayne",N00043077,D,MSS2,MS,S2,David Wayne Baria
"Barkley, Mike",N00033200,D,CA10,CA,10,Mike Barkley
"Barletta, Lou",N00025495,R,PAS2,PA,S2,Lou Barletta
"Barlow, Dawn",N00042917,D,TN06,TN,6,Dawn Barlow
"Barman, Charles",N00042997,R,WIS1,WI,S1,Charles Barman
"Barnes, Levy Jr",N00041534,D,TX14,TX,14,Levy Jr Barnes
"Barnett, Charles Rand",N00042201,D,OR03,OR,3,Charles Rand Barnett
"Barnhart, Rachel",N00043209,D,NY25,NY,25,Rachel Barnhart
"Barnheiser, Robert",N00042352,R,MNS2,MN,S2,Robert Barnheiser
"Barone, Roger",N00040969,R,TX03,TX,3,Roger Barone
"Barr, Andy",N00031233,R,KY06,KY,6,Andy Barr
"Barr, Robert",N00041989,D,OH01,OH,1,Robert Barr
"Barragan, Nanette",N00037019,D,CA44,CA,44,Nanette Barragan
"Barrasso, John A",N00006236,R,WYS1,WY,S1,John A Barrasso
"Barreiro, Bruno",N00041091,R,FL27,FL,27,Bruno Barreiro
"Barrera, Roy",N00038828,D,TX27,TX,27,Roy Barrera
"Barrett, Michael",N00041556,I,AR04,AR,4,Michael Barrett
"Barrington, Mark",N00042801,R,CO07,CO,7,Mark Barrington
"Barris, Roger",N00043498,L,CO02,CO,2,Roger Barris
"Barro, Mary Helen",N00042782,D,CA23,CA,23,Mary Helen Barro
"Barsoom, Raafat",N00042668,R,NJ07,NJ,7,Raafat Barsoom
"Bartee, Tobey",N00043488,3,MSS1,MS,S1,Tobey Bartee
"Bartlett, John",N00041371,D,NJ11,NJ,11,John Bartlett
"Bartley, Lori",N00037454,R,TX18,TX,18,Lori Bartley
"Barton, Joe",N00005656,R,TX06,TX,6,Joe Barton
"Bartos, Jeff",N00041042,R,PAS2,PA,S2,Jeff Bartos
"Barzee Flores, Mary",N00041494,D,FL25,FL,25,Mary Barzee Flores
"Basler, Doug",N00036660,R,WA09,WA,9,Doug Basler
"Bass, Bill",N00042476,I,NY24,NY,24,Bill Bass
"Bass, Karen",N00031877,D,CA37,CA,37,Karen Bass
"Bassilian, Ron",N00040664,R,CA37,CA,37,Ron Bassilian
"Bateson, Regina",N00040849,D,CA04,CA,4,Regina Bateson
"Batie, Rontel",N00041779,D,FL05,FL,5,Rontel Batie
"Batiste, Donald",N00042258,D,TX18,TX,18,Donald Batiste
"Battista, Lisa",N00040854,D,CA10,CA,10,Lisa Battista
"Bauer, Jerome",N00043406,3,MOS2,MO,S2,Jerome Bauer
"Baugh, Scott",N00038659,R,CA48,CA,48,Scott Baugh
"Baxter, Ralph",N00041717,D,WV01,WV,1,Ralph Baxter
"Beal, Brent",N00041190,D,TX01,TX,1,Brent Beal
"Beals, Jeff",N00041164,D,NY19,NY,19,Jeff Beals
"Bear, Henry John",N00042144,3,ME02,ME,2,Henry John Bear
"Beatty, Joyce",N00033904,D,OH03,OH,3,Joyce Beatty
"Beauregard, Pierre",N00040873,D,CA50,CA,50,Pierre Beauregard
"Beck, Joel",N00043194,R,NV02,NV,2,Joel Beck
"Beck, Tobi",N00040899,D,IN04,IN,4,Tobi Beck
"Becker, Nicholas",N00042935,L,TX17,TX,17,Nicholas Becker
"Bedell, Eileen",N00038849,D,VA07,VA,7,Eileen Bedell
"Bedolla, Mateo Morelos",N00040851,D,CA10,CA,10,Mateo Morelos Bedolla
"Bedwell, Danny",N00034073,L,MSS2,MS,S2,Danny Bedwell
"Beeler, Jeffrey",N00043542,R,WA01,WA,1,Jeffrey Beeler
"Been, Andrew",N00042802,D,CO07,CO,7,Andrew Been
"Beiler, Chet",N00043240,R,PA11,PA,11,Chet Beiler
"Belanger, Brian D",N00042463,R,NH02,NH,2,Brian D Belanger
"Belko, Jeremy",N00042825,R,IN01,IN,1,Jeremy Belko
"Bell, Adam",N00038795,D,TX03,TX,3,Adam Bell
"Bell, Adrienne",N00041197,D,TX14,TX,14,Adrienne Bell
"Bell, Barry",N00042911,R,SC04,SC,4,Barry Bell
"Bell, James Jerome",N00037241,I,OH11,OH,11,James Jerome Bell
"Bell, Jeff",N00000871,R,NJS1,NJ,S1,Jeff Bell
"Belle, Anita",N00041735,3,MIS2,MI,S2,Anita Belle
"Belote, Dave",N00041414,D,VA02,VA,2,Dave Belote
"Benac, David",N00041129,D,MI06,MI,6,David Benac
"Bender, Tyler",N00041953,3,IN03,IN,3,Tyler Bender
"Bennett, Douglas",N00040701,R,IL10,IL,10,Douglas Bennett
"Bennett, Jim",N00041709,3,UT03,UT,3,Jim Bennett
"Bentivolio, Kerry",N00033625,R,MI11,MI,11,Kerry Bentivolio
"Bentley, Joyce",N00043443,R,NV01,NV,1,Joyce Bentley
"Bentley, Robert",N00042072,R,CA36,CA,36,Robert Bentley
"Bequette, David",N00041113,D,IL12,IL,12,David Bequette
"Bera, Ami",N00030717,D,CA07,CA,7,Ami Bera
"Beretta, James",N00041272,R,ALS1,AL,S1,James Beretta
"Bergman, John",N00039533,R,MI01,MI,1,John Bergman
"Bergmann, Charlotte",N00032405,R,TN09,TN,9,Charlotte Bergmann
"Bernal, Benny",N00037017,R,CA29,CA,29,Benny Bernal
"Berrios, Joceline",N00042804,I,FL04,FL,4,Joceline Berrios
"Bershad, Ira",N00041207,D,TX26,TX,26,Ira Bershad
"Bethel, Lander",N00042231,D,TX04,TX,4,Lander Bethel
"Betts, William",N00042252,R,TX11,TX,11,William Betts
"Beutler, Jaime Herrera",N00031559,R,WA03,WA,3,Jaime Herrera Beutler
"Bevens, Matthew",N00042127,R,KS02,KS,2,Matthew Bevens
"Beyer, Augie",N00041301,I,AZ08,AZ,8,Augie Beyer
"Beyer, Don",N00036018,D,VA08,VA,8,Don Beyer
"Bhuiyan, Mohammad Ali",N00040822,R,GA06,GA,6,Mohammad Ali Bhuiyan
"Bhumitra, Arun K",N00043280,R,CAS2,CA,S2,Arun K Bhumitra
"Bible, Carl",N00042042,I,TXS2,TX,S2,Carl Bible
"Bicknell, Chadwick",N00043337,R,MO03,MO,3,Chadwick Bicknell
"Bieda, Steve",N00042150,D,MI09,MI,9,Steve Bieda
"Biggan, John",N00041881,D,TX24,TX,24,John Biggan
"Biggins, Julia",N00041892,D,VA10,VA,10,Julia Biggins
"Biggs, Andy",N00039293,R,AZ05,AZ,5,Andy Biggs
"Bignell, Mark",N00042147,D,MI04,MI,4,Mark Bignell
"Bilirakis, Gus",N00027462,R,FL12,FL,12,Gus Bilirakis
"Billie, Joe",N00041179,R,PA05,PA,5,Joe Billie
"Billups, Willie",N00042291,R,TX33,TX,33,Willie Billups
"Bird, Stoney",N00043608,3,WA02,WA,2,Stoney Bird
"Birkenstock, Veronica",N00041209,R,TX26,TX,26,Veronica Birkenstock
"Bishop, Bob",N00041918,D,AZS2,AZ,S2,Bob Bishop
"Bishop, Dave",N00042445,L,MD04,MD,4,Dave Bishop
"Bishop, Mike",N00036449,R,MI08,MI,8,Mike Bishop
"Bishop, Rob",N00025292,R,UT01,UT,1,Rob Bishop
"Bishop, Ron",N00041917,L,ALS1,AL,S1,Ron Bishop
"Bishop, Sanford",N00002674,D,GA02,GA,2,Sanford Bishop
"Bizon, Kimberly",N00042452,D,MI10,MI,10,Kimberly Bizon
"Bjorkman, Tim",N00041469,D,SD01,SD,1,Tim Bjorkman
"Black, Gwendolyn",N00042488,D,OK05,OK,5,Gwendolyn Black
"Black, Phil",N00030082,D,SC02,SC,2,Phil Black
"Black, Thereasa",N00041126,D,MD04,MD,4,Thereasa Black
"Blackburn, Marsha",N00003105,R,TNS1,TN,S1,Marsha Blackburn
"Blackmon, Anthony",N00042374,R,AL04,AL,4,Anthony Blackmon
"Blanco, Jaimy",N00042288,R,TX29,TX,29,Jaimy Blanco
"Blankenbeker, Lynne",N00042462,R,NH02,NH,2,Lynne Blankenbeker
"Blankenship, Don",N00042370,3,WVS1,WV,S1,Don Blankenship
"Blankenship, Seth",N00042158,R,NC10,NC,10,Seth Blankenship
"Blazek, Robert",N00042684,R,OH06,OH,6,Robert Blazek
"Bledsoe, Bill",N00039665,R,SC05,SC,5,Bill Bledsoe
"Bliatout, Bobby",N00041307,D,CA22,CA,22,Bobby Bliatout
"Bliss, Mark",N00039803,L,MO04,MO,4,Mark Bliss
"Bloom, Stephen",N00041592,R,PA13,PA,13,Stephen Bloom
"Blum, Rod",N00033744,R,IA01,IA,1,Rod Blum
"Blumenauer, Earl",N00007727,D,OR03,OR,3,Earl Blumenauer
"Blunt, Jeffrey",N00005981,L,TX20,TX,20,Jeffrey Blunt
"Bly, Ray",N00026756,R,MD07,MD,7,Ray Bly
"Boatner, John",N00042007,D,TN08,TN,8,John Boatner
"Boerio, Bibiana",N00043245,D,PA14,PA,14,Bibiana Boerio
"Bohren, Jensen",N00041442,D,MSS2,MS,S2,Jensen Bohren
"Boice, Court",N00042890,R,OR04,OR,4,Court Boice
"Boivin, Brad",N00043468,R,WI01,WI,1,Brad Boivin
"Bolena, Donald",N00040678,R,GA06,GA,6,Donald Bolena
"Boler, Mark",N00031805,L,TX26,TX,26,Mark Boler
"Bolhafner, Susan",N00040728,D,MO01,MO,1,Susan Bolhafner
"Bolinger, Larry",N00043181,R,NE03,NE,3,Larry Bolinger
"Bonamici, Suzanne",N00033474,D,OR01,OR,1,Suzanne Bonamici
"Bond, Tiffany",N00041818,I,ME02,ME,2,Tiffany Bond
"Bonds, Kristine",N00042453,R,MI11,MI,11,Kristine Bonds
"Bonham, Paul",N00041516,R,NC12,NC,12,Paul Bonham
"Bonneau, Jered",N00042957,I,WA05,WA,5,Jered Bonneau
"Bonner, Jay",N00035577,R,FL20,FL,20,Jay Bonner
"Booker, Tykiem",N00041440,D,DES1,DE,S1,Tykiem Booker
"Boone, Tanya",N00041985,D,NY21,NY,21,Tanya Boone
"Bordallo, Madeleine Z",N00024866,D,GU00,GU,0,Madeleine Z Bordallo
"Borrelli, Tamborine",N00042018,3,WA10,WA,10,Tamborine Borrelli
"Boser, Susan",N00042711,D,PA15,PA,15,Susan Boser
"Bost, Mike",N00035420,R,IL12,IL,12,Mike Bost
"Bourdeaux, Carolyn",N00041321,D,DC00,DC,0,Carolyn Bourdeaux
"Bourdeaux, Carolyn",N00041791,D,GA07,GA,7,Carolyn Bourdeaux
"Bourgeois, Jenna Marie",N00041673,D,MO04,MO,4,Jenna Marie Bourgeois
"Bowden, Craig",N00035465,L,UTS1,UT,S1,Craig Bowden
"Bowerman, Earl",N00043611,R,WA03,WA,3,Earl Bowerman
"Bowers, Harry",N00041204,R,TX22,TX,22,Harry Bowers
"Boyajian, Don",N00041589,D,NY21,NY,21,Don Boyajian
"Boyanton, Richard",N00042762,R,MSS2,MS,S2,Richard Boyanton
"Boyce, Henry Charles  ""Chuck""  Jr",N00040809,R,DES1,DE,S1,"Henry Charles ""Chuck"" Jr Boyce"
"Boyd, Will",N00031440,D,ALS1,AL,S1,Will Boyd
"Boyle, Brendan",N00035307,D,PA02,PA,2,Brendan Boyle
"Boyle, Dan",N00042708,D,PA05,PA,5,Dan Boyle
"Bradley, James",N00043073,R,CAS2,CA,S2,James Bradley
"Brady, Dwight",N00041819,D,MI01,MI,1,Dwight Brady
"Brady, Kevin",N00005883,R,TX08,TX,8,Kevin Brady
"Brady, Robert A",N00001619,D,PA02,PA,2,Robert A Brady
"Brakey, Eric",N00041037,R,MES1,ME,S1,Eric Brakey
"Brandon, Stephen",N00042918,D,TN06,TN,6,Stephen Brandon
"Brannon, Mary",N00043369,D,OK04,OK,4,Mary Brannon
"Brat, Dave",N00036013,R,VA07,VA,7,Dave Brat
"Braun, Mike",N00041731,R,INS1,IN,S1,Mike Braun
"Braun, Steve",N00041658,R,IN04,IN,4,Steve Braun
"Breault, Joseph",N00041436,R,ALS1,AL,S1,Joseph Breault
"Breckenridge, Rick",N00040447,L,MTS1,MT,S1,Rick Breckenridge
"Bredesen, Philip",N00042361,D,TNS1,TN,S1,Philip Bredesen
"Brennan, Christopher",N00042347,D,CAS2,CA,S2,Christopher Brennan
"Brian, Lee",N00041515,R,NC04,NC,4,Lee Brian
"Bridges, Adam Wayne",N00041093,D,GA01,GA,1,Adam Wayne Bridges
"Briel, Amy Murri",N00041655,D,IL16,IL,16,Amy Murri Briel
"Bright, Bobby",N00029838,R,AL02,AL,2,Bobby Bright
"Bright, Lee",N00035669,R,SC04,SC,4,Lee Bright
"Brill, David",N00042376,D,AZ04,AZ,4,David Brill
"Brindisi, Anthony",N00041385,D,NY22,NY,22,Anthony Brindisi
"Brinson, Randy",N00041024,R,ALS1,AL,S1,Randy Brinson
"Briscoe, John",N00042788,R,CA47,CA,47,John Briscoe
"Briscoe, Joyce",N00043447,D,NY16,NY,16,Joyce Briscoe
"Brisee, Steven",N00040623,D,NY19,NY,19,Steven Brisee
"Britt, Elysabeth",N00043217,D,OK05,OK,5,Elysabeth Britt
"Brittain, Craig",N00041919,R,AZS2,AZ,S2,Craig Brittain
"Brixey, Benjamin",N00039963,L,MO07,MO,7,Benjamin Brixey
"Broady, Flynn Jr",N00043151,D,GA11,GA,11,Flynn Jr Broady
"Brock, Rueben",N00041994,D,PA18,PA,18,Rueben Brock
"Brolley, Matt",N00041344,D,IL14,IL,14,Matt Brolley
"Brook, Martin",N00042148,D,MI09,MI,9,Martin Brook
"Brookins, Howard Jr",N00038640,D,IL01,IL,1,Howard Jr Brookins
"Brooks, Doris Flores",N00043576,R,GU00,GU,0,Doris Flores Brooks
"Brooks, James",N00043527,R,TN01,TN,1,James Brooks
"Brooks, Janis",N00034126,D,PA18,PA,18,Janis Brooks
"Brooks, Mo",N00030910,R,AL05,AL,5,Mo Brooks
"Brooks, Sherry",N00032053,R,NVS1,NV,S1,Sherry Brooks
"Brooks, Susan",N00033495,R,IN05,IN,5,Susan Brooks
"Brown, Aja",N00042787,D,CA44,CA,44,Aja Brown
"Brown, Alvin",N00042574,D,FL05,FL,5,Alvin Brown
"Brown, Anthony",N00036999,D,MD04,MD,4,Anthony Brown
"Brown, Brandon",N00027066,D,SC04,SC,4,Brandon Brown
"Brown, Christine",N00041238,D,WA04,WA,4,Christine Brown
"Brown, David Wilson",N00041368,D,NC10,NC,10,David Wilson Brown
"Brown, Jordan",N00042716,R,SC04,SC,4,Jordan Brown
"Brown, Lindsay",N00041681,R,NJ07,NJ,7,Lindsay Brown
"Brown, Lisa",N00041715,D,WA05,WA,5,Lisa Brown
"Brown, Michael",N00042849,D,MD01,MD,1,Michael Brown
"Brown, Paul",N00037254,R,TX32,TX,32,Paul Brown
"Brown, Shaun",N00039713,I,VA02,VA,2,Shaun Brown
"Brown, Sherrod",N00003535,D,OHS1,OH,S1,Sherrod Brown
"Brown, Stephen",N00043047,R,SC04,SC,4,Stephen Brown
"Brown, Steve",N00034590,L,NV03,NV,3,Steve Brown
"Brown, Steve",N00042273,D,TX22,TX,22,Steve Brown
"Brown, Yolanda",N00041629,D,CA08,CA,8,Yolanda Brown
"Browning, Dean",N00042211,R,PA07,PA,7,Dean Browning
"Browning, Kate",N00041848,D,NY01,NY,1,Kate Browning
"Brownley, Julia",N00034254,D,CA26,CA,26,Julia Brownley
"Bruce, George",N00040710,R,KS04,KS,4,George Bruce
"Brueggemann, Dale",N00033315,R,TX15,TX,15,Dale Brueggemann
"Brumbles, Joseph",N00043616,R,WA10,WA,10,Joseph Brumbles
"Brunner, Earl",N00042507,R,TX05,TX,5,Earl Brunner
"Brunson, Loy",N00033163,R,UTS1,UT,S1,Loy Brunson
"Bruun, Bech",N00042280,R,TX27,TX,27,Bech Bruun
"Bryan, Pat",N00038791,D,TX02,TX,2,Pat Bryan
"Bryant, David R",N00043573,R,WAS1,WA,S1,David R Bryant
"Bryce, Randy",N00041425,D,WI01,WI,1,Randy Bryce
"Buchan, Sean",N00040880,R,FL09,FL,9,Sean Buchan
"Buchanan, Jarred",N00042184,R,NY18,NY,18,Jarred Buchanan
"Buchanan, Vernon",N00027626,R,FL16,FL,16,Vernon Buchanan
"Buchman, Joe",N00030092,L,UT03,UT,3,Joe Buchman
