CRPName,CID,Party,DistIDRunFor,State,District
"Manno, Roger",N00041576,D,MD06,MD,6
"Mantanona, Nicholas",N00040180,I,TN09,TN,9
"Mantey, Dale S",N00041200,D,TX17,TX,17
"Mapp, Chris",N00035790,R,TX27,TX,27
"March, Anthony",N00041345,D,IL15,IL,15
"Marchant, Kenny",N00026710,R,TX24,TX,24
"Margalis, Tony",N00042377,D,AZ05,AZ,5
"Marino, Louis",N00041664,R,MA03,MA,3
"Marino, Tom",N00031777,R,PA12,PA,12
"Markos, Juan",N00040861,R,CA28,CA,28
"Markowitz, Warren",N00039705,3,NV04,NV,4
"Marks, Doug",N00041273,L,AZS2,AZ,S2
"Marshall, Jennifer",N00040622,D,NC05,NC,5
"Marshall, Roger",N00037034,R,KS01,KS,1
"Marshall, Ron",N00040834,D,TX32,TX,32
"Marshall, Zane",N00041114,R,IL16,IL,16
"Marsicano, Michael",N00037294,D,PA09,PA,9
"Marter, James",N00038562,R,IL16,IL,16
"Marthone, Joe",N00034790,D,NY05,NY,5
"Martian, Chris",N00040963,D,SD01,SD,1
"Martin, Andy",N00035510,R,NH01,NH,1
"Martin, Brandon Ray",N00042605,R,AZ02,AZ,2
"Martin, Ernie",N00042107,D,HI01,HI,1
"Martin, Henry",N00041830,D,MO06,MO,6
"Martin, Jenica",N00042441,L,MD01,MD,1
"Martin, Paul",N00043130,R,CA48,CA,48
"Martin, Richard",N00041753,D,CA04,CA,4
"Martin, Robert",N00042845,L,MA04,MA,4
"Martin, SusanAnn",N00042774,I,AR04,AR,4
"Martinez, Damon",N00041372,D,NM01,NM,1
"Martinez, Ryan",N00043187,L,NJ11,NJ,11
"Martinez, Tony",N00041453,D,NM02,NM,2
"Marts, Tola",N00041241,D,WA08,WA,8
"Martz, Emily",N00041384,D,NY21,NY,21
"Marvin, Larry",N00030133,D,NES1,NE,S1
"Maryott, Brian",N00042392,R,CA49,CA,49
"Marzett, Gregory",N00042413,I,GA12,GA,12
"Mason, Mia",N00042759,3,MDS1,MD,S1
"Mason, Raz",N00042702,D,OR02,OR,2
"Mason, Robert",N00041876,3,TX03,TX,3
"Massengale, Jeremy",N00043255,R,TN03,TN,3
"Massie, Thomas",N00034041,R,KY04,KY,4
"Mast, Brian",N00037269,R,FL18,FL,18
"Masterman-Smith, Mike",N00042071,D,CA25,CA,25
"Masters, Paul",N00042494,R,PA06,PA,6
"Mastrianni, David",N00042438,D,NY21,NY,21
"Mastriano, Douglas Ph.D.",N00042710,R,PA13,PA,13
"Matemu, Japheth",N00042657,L,NC02,NC,2
"Maternowski, Todd",N00041212,D,TX32,TX,32
"Matheny, Judd",N00041531,R,TN06,TN,6
"Mathur, Sumati",N00043141,D,DC00,DC,0
"Matias, Juana",N00041810,D,MA03,MA,3
"Matiella, Mary Sally",N00041062,D,AZ02,AZ,2
"Matlock, Jimmy",N00041595,R,TN02,TN,2
"Matory, Liz",N00042642,R,MD02,MD,2
"Matsui, Doris O",N00027459,D,CA06,CA,6
"Matta, Tatiana",N00041632,D,CA23,CA,23
"Maurice, Victor G.",N00043408,D,MSS2,MS,S2
"Mauro, Eddie J.",N00041794,D,IA03,IA,3
"Maxwell, Jim",N00042477,R,NY25,NY,25
"Maxwell, Mary",N00041437,R,ALS1,AL,S1
"May, Justin Tyler",N00042045,D,AL02,AL,2
"May, Wendy Ella",N00041141,D,NC02,NC,2
"Mays, Doug",N00043426,R,KS02,KS,2
"Mazen, Nadeem",N00041807,D,MA03,MA,3
"Mazen, Nadeem",N00041353,D,MA07,MA,7
"Mazeski, Kelly",N00041110,D,IL06,IL,6
"McAdams, Ben",N00042013,D,UT04,UT,4
"McAdams, Ryan",N00042294,R,VA04,VA,4
"McAllen, Roman",N00041047,D,TXS2,TX,S2
"Mcardle, Angela",N00040661,L,CA34,CA,34
"McArthur, Gabriel",N00040617,D,CO06,CO,6
"McBath, Lucy",N00042813,D,GA06,GA,6
"Mcbride, Arlester (Mac)",N00041916,I,ALS1,AL,S1
"McCaigue, David",N00042101,L,GA05,GA,5
"Mccall, Josh",N00041101,D,GA09,GA,9
"McCall, Matt",N00035273,R,TX21,TX,21
"McCamon, Mike",N00042625,D,KS03,KS,3
"Mccandless, Reed C.",N00043089,3,UTS1,UT,S1
"McCann, John",N00025044,R,NJ05,NJ,5
"McCants, Kevin",N00043571,I,TNS1,TN,S1
"Mccarthy, John",N00039822,R,OK02,OK,2
"Mccarthy, Kelly",N00040732,D,MT01,MT,1
"McCarthy, Kevin",N00028152,R,CA23,CA,23
"McCarthy, Mike",N00043437,D,MI10,MI,10
"McCaskill, Claire",N00027694,D,MOS2,MO,S2
"McCaul, Michael",N00026460,R,TX10,TX,10
"Mccauley, Greg",N00042705,R,PA06,PA,6
"McClelland, Erin",N00035304,D,PA17,PA,17
"McClintock, Tom",N00006863,R,CA04,CA,4
"McClure, Jessica",N00041148,D,NE01,NE,1
"McCoard, Melanie",N00043061,3,UT03,UT,3
"McCollum, Betty",N00012942,D,MN04,MN,4
"Mcconnell, Joseph",N00041121,D,KS03,KS,3
"Mcconnell, Lizzetta Hill",N00042773,D,AL01,AL,1
"Mccorkle, William",N00043043,R,SC04,SC,4
"McCormick, Karen",N00041082,D,CO04,CO,4
"McCormick, Lisa",N00043413,D,NJS1,NJ,S1
"McCready, Dan",N00041145,D,NC09,NC,9
"McDade, Mark",N00040953,D,PA12,PA,12
"McDaniel, Chris",N00035663,R,MSS1,MS,S1
"McDermott, George",N00026605,R,MD04,MD,4
"McDevitt, David",N00038854,D,WA03,WA,3
"McDonald, Darlene",N00041412,D,UT04,UT,4
"McDonald, Ronnie",N00034566,D,TX27,TX,27
"McDowell, Jan",N00038290,D,TX24,TX,24
"McEachern, Deaglan",N00043183,D,NH01,NH,1
"McEachin, Donald",N00039327,D,VA04,VA,4
"McElligott, John B",N00042941,L,TX22,TX,22
"McFadden, Adam",N00043450,D,NY25,NY,25
"McFadden, Elliott",N00040983,D,TX21,TX,21
"McFadden, Garrick",N00040844,D,AZ06,AZ,6
"McFall, Steve",N00037051,R,NM03,NM,3
"Mcgee, Brian",N00041268,D,ALS1,AL,S1
"Mcginty, John",N00040748,D,PA05,PA,5
"McGonigle, Dean",N00043446,I,NV04,NV,4
"McGovern, James P",N00000179,D,MA02,MA,2
"McGovern, Mark",N00042666,R,NJ02,NJ,2
"McGrath, Amy",N00041505,D,KY06,KY,6
"McHale, Judith",N00040845,D,AZ08,AZ,8
"McHenry, Patrick",N00026627,R,NC10,NC,10
"McInnis, Jimmy",N00040692,D,GA08,GA,8
"Mcintosh, Elijah",N00043215,D,OK02,OK,2
"Mckay, Ryan Darrell",N00042292,I,TX35,TX,35
"McKellar, Shirley",N00033834,D,TX01,TX,1
"McKenna, John W",N00041857,D,OK04,OK,4
"McKeon, David Owen",N00041467,R,NV03,NV,3
"McKinley, David",N00031681,R,WV01,WV,1
"McKinley, Todd",N00041697,R,TN01,TN,1
"Mckinney, Dennis",N00040715,D,KS04,KS,4
"McLeod-Skinner, Jamie",N00041421,D,OR02,OR,2
"Mclinko, Doug",N00042206,R,PA12,PA,12
"McMahan, Pat",N00041340,D,IL12,IL,12
"McMiller, Beniah",N00040925,D,NC13,NC,13
"McMurray, Nate",N00042478,D,NY27,NY,27
"McNeil, Christina",N00043159,D,ID01,ID,1
"McNeill, Frank",N00042461,D,NC08,NC,8
"McNerney, Jerry",N00026926,D,CA09,CA,9
"McPherson, Bruce",N00041789,R,GA02,GA,2
"McQueen, Lee",N00041744,I,AR04,AR,4
"McSally, Martha",N00033982,R,AZS2,AZ,S2
"McStay, John",N00043254,D,TN02,TN,2
"Mcvarish, Scott",N00041933,D,CA25,CA,25
"Mead, Richard Thomas",N00041277,I,CAS2,CA,S2
"Meade, Tyson Todd",N00043373,D,OK05,OK,5
"Meader, Cortland",N00041365,R,NC05,NC,5
"Meadows, Mark R",N00033631,R,NC11,NC,11
"Medway, David",N00042790,R,CA49,CA,49
"Meehan, Patrick",N00031134,R,PA05,PA,5
"Meeks, Gregory W",N00001171,D,NY05,NY,5
"Meier, Edward",N00040990,D,TX32,TX,32
"Mejia, Kenneth",N00039754,3,CA34,CA,34
"Melendez, John",N00040806,D,CAS2,CA,S2
"Melillo, Michael",N00042069,I,CA18,CA,18
"Melson, Boyd",N00040936,D,NY11,NY,11
"Melton, Rixi",N00040765,D,TX21,TX,21
"Menconi, Arn",N00040111,D,CO03,CO,3
"Mendoza, Matt",N00037022,R,CA53,CA,53
"Mendoza, Sandra",N00040648,D,CA34,CA,34
"Menendez, Robert",N00000699,D,NJS1,NJ,S1
"Meng, Grace",N00034547,D,NY06,NY,6
"Menor, Scott",N00041751,I,AZ09,AZ,9
"Mensing, Dale",N00035352,R,CA02,CA,2
"Mercado, Juan",N00039768,I,CA51,CA,51
"Mercer, Jay",N00040036,R,NH02,NH,2
"Merkle, David",N00042415,R,IL02,IL,2
"Merrill, Max",N00042709,R,PA13,PA,13
"Merryman, Bill",N00042382,L,CA22,CA,22
"Messenger, Anne",N00041389,D,NY24,NY,24
"Messer, Luke",N00012546,R,INS1,IN,S1
"Messmer, John",N00042155,D,MO02,MO,2
"Messmer, Mindi",N00042160,D,NH01,NH,1
"Metcalf, Charles Jr",N00042132,D,LA03,LA,3
"Methvin, Mimi",N00043163,D,LA03,LA,3
"Metsa, Jason",N00042860,D,MN08,MN,8
"Meuser, Dan",N00029416,R,PA09,PA,9
"Meyer, John",N00039239,R,IN01,IN,1
"Meyer, John",N00043351,D,MT01,MT,1
"Meyers, Gary Anthony",N00042766,R,NVS1,NV,S1
"Meyers, Larry",N00042365,R,UTS1,UT,S1
"Meyers, Ryan",N00040697,D,IA04,IA,4
"Meza, Raymond",N00040616,D,CA34,CA,34
"Michaels, Barry",N00027885,I,NVS1,NV,S1
"Michailidis, Costa",N00041685,I,NY03,NY,3
"Mihalek, Valerie",N00041995,R,PA01,PA,1
"Milisits, Michael",N00040941,D,OH10,OH,10
"Miller, Alexander",N00041485,D,CA53,CA,53
"Miller, Aruna",N00040909,D,MD06,MD,6
"Miller, Bruce Gordon Mr.",N00042471,D,NY01,NY,1
"Miller, Carol",N00041542,R,WV03,WV,3
"Miller, Christopher Austin",N00041092,D,FL27,FL,27
"Miller, Darrel",N00031493,D,IL18,IL,18
"Miller, Donald Roy",N00041107,D,ID01,ID,1
"Miller, Drew",N00042501,L,PA14,PA,14
"Miller, Gavin",N00040558,R,GA11,GA,11
"Miller, Glen Scott",N00040706,D,IN08,IN,8
"Miller, Jeff",N00039702,R,NV04,NV,4
"Miller, Johnathan",N00041176,L,OH15,OH,15
"Miller, Joseph",N00042680,R,OH04,OH,4
"Miller, Justin",N00042157,D,NC02,NC,2
"Miller, Lee Thomas",N00042006,R,TN07,TN,7
"Miller, Loretta",N00040881,R,FL15,FL,15
"Miller, Mary",N00042362,R,TXS2,TX,S2
"Miller, Mike",N00041326,R,FL07,FL,7
"Miller, Preston L",N00043220,R,OR01,OR,1
"Miller, Tim",N00040919,R,MN07,MN,7
"Mills, Anthony",N00043109,I,CA05,CA,5
"Mills, John",N00039506,R,FL01,FL,1
"Mills, Jordan",N00043134,3,CA49,CA,49
"Min, David",N00040866,D,CA45,CA,45
"Minehart, Colin",N00041131,D,MN01,MN,1
"Minelli, Chris",N00040898,D,IL16,IL,16
"Miniear, J D",N00033888,R,IN07,IN,7
"Miranda, Catherine",N00042050,D,AZ07,AZ,7
"Mitchel, John",N00013416,R,OH10,OH,10
"Mitchell, Ben",N00042533,D,VT01,VT,1
"Mitchell, Danielle",N00041187,D,TN03,TN,3
"Mitchell, Darius",N00041279,R,MAS1,MA,S1
"Mitchell, Kevin",N00043136,3,CA51,CA,51
"Mitchell, Mark",N00042239,R,TX06,TX,6
"Mitchell, Paul",N00036274,R,MI10,MI,10
"Mitchem, Todd",N00041771,L,CO02,CO,2
"Mitrano, Tracy",N00041688,D,NY23,NY,23
"Mizher, Adrian",N00042512,R,TX06,TX,6
"Mizusawa, Bert",N00031422,R,VAS1,VA,S1
"Mockerman, Christopher",N00041322,I,DE01,DE,1
"Modica, Julien",N00029448,D,VA10,VA,10
"Moghul, Fasil",N00041672,D,MN04,MN,4
"Mohammad, Neill",N00040705,D,IL16,IL,16
"Mohan, Radhakrishna",N00041982,D,NY11,NY,11
"Monday, Christopher",N00041188,R,TN06,TN,6
"Monetti, Tony",N00041038,R,MOS2,MO,S2
"Money, Christopher",N00041838,R,NC11,NC,11
"Monroe, Mike",N00028628,R,NV04,NV,4
"Montenegro, Steve",N00042058,R,AZ08,AZ,8
"Montgomery, Chalis",N00041332,D,GA10,GA,10
"Montiel, Carmen",N00042287,R,TX29,TX,29
"Moody, Dan",N00040682,R,GA06,GA,6
"Moody, Josh",N00043097,I,AR03,AR,3
"Moolenaar, John",N00036275,R,MI04,MI,4
"Moon, Kent",N00043057,D,UT03,UT,3
"Mooney, Alex",N00033814,R,WV02,WV,2
"Moore, Barry",N00041295,R,AL02,AL,2
"Moore, Charlotte",N00043063,D,VA06,VA,6
"Moore, Dave",N00043454,3,SC03,SC,3
"Moore, David",N00043276,I,CAS2,CA,S2
"Moore, Gwen",N00026914,D,WI04,WI,4
"Moore, Kyle",N00042578,D,IN05,IN,5
"Moore, Roy",N00041027,R,ALS1,AL,S1
"Moore, Sidney",N00036478,D,SC05,SC,5
"Moorehead, Patrick",N00041646,I,GA10,GA,10
"Morales, Danny",N00042607,R,AZ02,AZ,2
"Morales, Diego",N00041657,R,IN04,IN,4
"Morales, Hector",N00040986,D,TX29,TX,29
"Morelle, Joseph D",N00043207,D,NY25,NY,25
"Moreno, Dominick",N00041085,D,CO07,CO,7
"Moreno, Joe",N00042420,D,IL04,IL,4
"Morgan, Marcia",N00043485,D,MDS1,MD,S1
"Morgan, Matt",N00040912,D,MI01,MI,1
"Morganelli, John",N00042212,D,PA07,PA,7
"Morin, Will",N00042216,D,SC04,SC,4
"Moro, Elizabeth",N00040952,D,PA05,PA,5
"Morris, Ricky Jr",N00042988,L,TXS2,TX,S2
"Morrisey, Patrick",N00041555,R,WVS1,WV,S1
"Morrison, William ""Rodriguez""",N00040660,R,CA34,CA,34
"Morrow, John",N00008363,R,IL02,IL,2
"Morse, Jessica",N00041447,D,CA04,CA,4
"Mortensen, Michelle",N00042177,R,NV03,NV,3
"Moser, John",N00041507,D,MD07,MD,7
"Moser, Laura",N00040973,D,TX07,TX,7
"Moses, Mike",N00041296,R,AL04,AL,4
"Moss, Jim",N00041616,D,AZS2,AZ,S2
"Moss, Lynda",N00041973,D,MT01,MT,1
"Moss, Richard",N00038672,R,IN08,IN,8
"Mossburg, Matt",N00041815,R,MD06,MD,6
"Mosser, John Marshall",N00043248,R,SC04,SC,4
"Mott-Smith, Marla",N00040996,D,UT04,UT,4
"Mottus, Kevin",N00036504,R,CAS2,CA,S2
"Moulton, Seth",N00035431,D,MA06,MA,6
"MOVER, UNCLE",N00039070,R,WA02,WA,2
"Moya, Paul",N00042170,D,NM01,NM,1
"Mucarel-Powell, Debbie",N00041561,D,FL26,FL,26
"Mullen, Michael",N00043431,I,MA03,MA,3
"Mullikin, Tom",N00040752,R,SC05,SC,5
"Mullin, Markwayne",N00033410,R,OK02,OK,2
"Mulloy, TJ",N00042700,D,OH16,OH,16
"Multari, Robert",N00043246,D,PA16,PA,16
"Mundy, Keith",N00039150,D,OH16,OH,16
"Muniz, John",N00043357,R,NJ08,NJ,8
"Munro, Patrick",N00036687,R,MN06,MN,6
"Muroff, Dan",N00037529,D,PA05,PA,5
"Murphy, Christopher S",N00027566,D,CTS1,CT,S1
"Murphy, Dan",N00041139,D,NC02,NC,2
"Murphy, Jim",N00034542,R,NV03,NV,3
"Murphy, Lee H",N00043502,R,DE01,DE,1
"Murphy, Les",N00040960,D,SC05,SC,5
"Murphy, Marcus",N00042614,D,CO05,CO,5
"Murphy, Stephanie",N00040133,D,FL07,FL,7
"Murphy, Tim",N00024992,R,PA18,PA,18
"Murray, Lavitta",N00042585,D,OH11,OH,11
"Murray, Ronald",N00041443,R,MTS1,MT,S1
"Murtaugh, Morgan",N00042795,R,CA53,CA,53
"Musselwhite, Bob",N00043002,D,AZ08,AZ,8
"Mustafa, Regina",N00041671,D,MN01,MN,1
"Mustafa, Sameena",N00041567,D,IL05,IL,5
"Myers, Cathy",N00041426,D,WI01,WI,1
"Myers, Paul",N00042253,R,TX11,TX,11
"Myers, Steve",N00040530,I,OH02,OH,2
"Nabliba, Mario",N00043275,R,CAS2,CA,S2
"Nadler, Jerrold",N00000939,D,NY10,NY,10
"Nalbandian, Johnny",N00041480,R,CA28,CA,28
"Nana, Charles",N00039033,D,ALS1,AL,S1
"Napolitano, Grace",N00006789,D,CA32,CA,32
"Narang, Sonny",N00043453,3,SC02,SC,2
"Nardolillo, Bobby",N00040819,R,RIS1,RI,S1
"Narvaiz, Susan",N00033667,R,TX21,TX,21
"Nations, Joey",N00042891,R,OR05,OR,5
"Navarro, Omar",N00037584,R,CA43,CA,43
"Neace, Joshua",N00040903,3,KY04,KY,4
"Neahring, Jennifer",N00042491,D,OR02,OR,2
"Neal, Diane",N00042675,I,NY19,NY,19
"Neal, Richard E",N00000153,D,MA01,MA,1
"Neal, Rick",N00041590,D,OH15,OH,15
"Nease, James",N00042832,R,IN04,IN,4
"Neff, Bill",N00040555,R,PA11,PA,11
"Negley, William",N00042263,R,TX21,TX,21
"Negron, Steve",N00041841,R,NH02,NH,2
"Neguse, Joseph",N00041080,D,CO02,CO,2
"Nehlen, Paul",N00039601,R,WI01,WI,1
"Neighbors, Rick",N00041297,D,AL04,AL,4
"Nelson, Bill",N00009926,D,FLS1,FL,S1
"Nelson, Carla",N00041827,R,MN01,MN,1
"Nelson, John",N00041760,D,CA26,CA,26
"Nelson, Kevin",N00042515,D,TX10,TX,10
"Nelson, Patrick",N00040635,D,NY21,NY,21
"Nelson, Preston",N00042426,R,IL12,IL,12
"Nelson, Shawn",N00042385,R,CA39,CA,39
"Nelson, Thomas John",N00043496,R,AK01,AK,1
"Nesmith, Trent",N00041496,D,GA12,GA,12
"Neu, James",N00039142,D,OH05,OH,5
"Newberger, Jim",N00041736,R,MNS2,MN,S2
"Newbrough, Jack",N00043313,R,WVS1,WV,S1
"Newhouse, Dan",N00036403,R,WA04,WA,4
"Newland, K Ross",N00037323,R,GA13,GA,13
"Newman, Marie",N00040891,D,IL03,IL,3
"Newman, Monty",N00029708,R,NM02,NM,2
"Newsom, Shane",N00042987,L,TXS2,TX,S2
"Newton, William",N00037600,R,MD07,MD,7
"Nguyen, Danny",N00042011,R,TX22,TX,22
"Nichols, Damien",N00040645,D,CA28,CA,28
"Nichols, Jason",N00042200,D,OK02,OK,2
"Nichols, Kristi",N00032147,R,MOS2,MO,S2
"Nicholson, Kevin",N00041623,R,WIS1,WI,S1
"Nickloes, Sarah Ashley",N00042915,R,TN02,TN,2
"Niederkorn, David",N00042229,R,TX03,TX,3
"Niemuth, Niles",N00043601,3,MI12,MI,12
"Niermann, Tom",N00041349,D,KS03,KS,3
"Noble, Janelle",N00040999,D,VA07,VA,7
"Nolan, Rick",N00021207,D,MN08,MN,8
"Norcross, Don",N00036154,D,NJ01,NJ,1
"Nordal, Craig",N00042791,R,CA49,CA,49
"Noren, Scott",N00030614,D,NYS1,NY,S1
"Norman, Ralph",N00027783,R,SC05,SC,5
"Norris, Lance",N00043347,R,MO07,MO,7
"Norris, Phil",N00033875,R,AL04,AL,4
"Norton, Eleanor Holmes",N00001692,D,DC00,DC,0
"Nothstein, Marty",N00042209,R,PA07,PA,7
"Nunes, Devin",N00007248,R,CA22,CA,22
"Nye, Cooper",N00042647,I,MI11,MI,11
"Nye, Jennifer T.",N00043499,R,CT01,CT,1
"Nygaard, David",N00042530,D,VA02,VA,2
"Nygard, Dotty",N00040852,D,CA10,CA,10
"O''Neill, Thomas E.",N00043412,R,NDS2,ND,S2
"O'Brien, Carol",N00042196,R,OH12,OH,12
"O'Connor, Danny",N00042586,D,OH12,OH,12
"O'Cull, Sayre Christian",N00040719,D,KY04,KY,4
"O'Dear, Craig",N00042982,I,MOS2,MO,S2
"O'Donnell, James",N00042674,R,NY18,NY,18
"O'Donnell, Justin",N00041150,L,NH02,NH,2
"O'Donnell, Ronald",N00040850,D,CA08,CA,8
"O'Halleran, Tom",N00037515,D,AZ01,AZ,1
"O'Hara, Shawn",N00003338,3,MSS2,MS,S2
"O'Neill, Ruby",N00043420,R,CT05,CT,5
"O'Rourke, Beto",N00033540,D,TXS2,TX,S2
"O'Rourke, Terence",N00041980,D,NH01,NH,1
"Oakes, Kevin",N00040957,R,PA08,PA,8
"Oaks, Richonda",N00043340,R,MO05,MO,5
"Oatman, Laura",N00040869,D,CA48,CA,48
"Ocasio-Cortez, Alexandria",N00041162,D,NY14,NY,14
"Oh, Thomas",N00042730,R,VA08,VA,8
"Ohevzion, Michael",N00042812,R,FL27,FL,27
"Ojeda, Richard",N00036034,D,WV03,WV,3
"Oliver, Julie",N00042278,D,TX25,TX,25
"Oliver, Rusty",N00041644,D,GA03,GA,3
"Olivito, Richard A",N00042682,D,OH06,OH,6
"Olmer, Scott",N00041246,D,WI06,WI,6
"Olsen, Martin",N00041696,D,TN01,TN,1
"Olsen, Robert Dean",N00043104,D,AZ08,AZ,8
"Olson, Brayden",N00041896,D,WA08,WA,8
"Olson, Craig",N00041667,D,ME02,ME,2
"Olson, Lee W",N00042597,I,CAS2,CA,S2
"Olson, Pete",N00029285,R,TX22,TX,22
"Olszewski, Al",N00041039,R,MTS1,MT,S1
"Omar, Ilhan",N00043581,D,MN05,MN,5
"Onufrei, Stelian",N00041448,R,CA48,CA,48
"Orlinski, John",N00030378,R,WAS1,WA,S1
"Ortitay, Jason",N00042003,R,PA14,PA,14
"Ortiz, Gabriel",N00042865,D,NC12,NC,12
"Osmack, Mark",N00041512,D,MO02,MO,2
"Osmena, Cristina",N00043115,R,CA14,CA,14
"Ossoff, Jon",N00040675,D,GA06,GA,6
"Ottaway, Brent",N00043243,D,PA13,PA,13
"Owen, Robert",N00040857,D,CA23,CA,23
"Owen, Tim",N00043631,R,WAS1,WA,S1
"Owens, Colleen",N00043536,R,TN08,TN,8
"Owens, Hubert",N00043020,R,MD02,MD,2
"Owens, Kyle",N00043323,I,IL16,IL,16
"Pace, Tyler",N00043103,R,AZ05,AZ,5
"Padgett, Clay",N00042889,D,OK02,OK,2
"Padilla, Mark",N00040652,I,CA34,CA,34
"Paige, H Brooke",N00034951,R,VTS1,VT,S1
"Painter, Richard",N00043075,3,MNS1,MN,S1
"Palazzo, Rhonda",N00042632,R,KY03,KY,3
"Palazzo, Steven",N00031958,R,MS04,MS,4
"Pallant, Mary",N00027796,D,CA25,CA,25
"Pallone, Frank Jr",N00000781,D,NJ06,NJ,6
"Palmer, Gary",N00035691,R,AL06,AL,6
"Palmer, Michael",N00042221,R,TX02,TX,2
"Palmer, Susan",N00042587,D,OH16,OH,16
"Palsson, Nils",N00039379,I,CA05,CA,5
"Palzer, Tom",N00037157,R,CAS2,CA,S2
"Palzewicz, Tom",N00041716,D,WI05,WI,5
"Panda, Chetan",N00041708,D,TX25,TX,25
"Panetta, Jimmy",N00038601,D,CA20,CA,20
"Pannu, Jasdeep",N00041553,3,VTS1,VT,S1
"Pappas, Anthony",N00043523,R,NY14,NY,14
"Pappas, Chris",N00042161,D,NH01,NH,1
"Pappas, Nicholas",N00042828,R,IN01,IN,1
"Park, Jonathan",N00042532,D,VA11,VA,11
"Parker, Grayson",N00042863,D,NC07,NC,7
"Parker, John",N00039918,3,CAS2,CA,S2
"Parker, Luisa",N00043361,I,NY19,NY,19
"Parker, Perry",N00043172,R,MS03,MS,3
"Parker, Sam",N00043088,R,UTS1,UT,S1
"Parks, Juan",N00041624,D,GA04,GA,4
"Parnell, Archie",N00040759,D,SC05,SC,5
"Parvizian, Hamid",N00042225,D,TX02,TX,2
"Paschen, John",N00041795,D,IA04,IA,4
"Pascrell, Bill Jr",N00000751,D,NJ09,NJ,9
"Pate, Ava",N00038816,R,TX18,TX,18
"Patel, Sanjay",N00042406,D,FL08,FL,8
"Patel, Suraj",N00041983,D,NY12,NY,12
"Paterson, Clark",N00035104,L,TX35,TX,35
"Patterson, Ken",N00043403,R,MOS2,MO,S2
"Patton, Jackie",N00042197,D,OH12,OH,12
"Patton, Tom",N00041591,R,OH16,OH,16
"Paul, Richard",N00043354,L,NH01,NH,1
"Paul, Utam",N00042851,D,MD08,MD,8
Paula Jean Swearengin,N00041293,D,WVS1,WV,S1
"Paulaha, Dennis",N00043381,D,WI07,WI,7
"Paulsen, Erik",N00029391,R,MN03,MN,3
"Paulus, GE",N00043482,R,AZS2,AZ,S2
"Payne, Donald M Jr",N00034639,D,NJ10,NJ,10
"Payne, Rachel",N00043006,D,CA48,CA,48
"Payne, Tom",N00039271,D,WV01,WV,1
"Payton, Philip",N00043263,R,WV03,WV,3
"Peacock, Julia",N00040665,D,CA42,CA,42
"Pearce, Steve",N00012672,R,NM02,NM,2
"Pearson, Erika Stotts",N00039845,D,TN08,TN,8
"Pearson, Michael",N00036714,R,MD07,MD,7
"Peay, Stewart",N00041227,R,UT03,UT,3
"Pechefsky, David",N00041523,D,NY01,NY,1
"Pedigo, Brian",N00012932,D,KY02,KY,2
"Peeples, Bryan",N00041438,R,ALS1,AL,S1
"Pelletier, Paul",N00042016,D,VA10,VA,10
"Pellett, Danielle",N00040343,D,TX32,TX,32
"Pelosi, Nancy",N00007360,D,CA12,CA,12
"Pelzer, Jon",N00041310,D,CA30,CA,30
"Pelzer, Kimberlin Brown",N00041762,R,CA36,CA,36
"Pena, Angel",N00042174,D,NM02,NM,2
"Pena, Chuck",N00042937,L,TX20,TX,20
"Pena, Ray",N00040670,D,FL15,FL,15
"Pena, Rene Jr",N00041410,D,TX27,TX,27
"Pence, Greg",N00041956,R,IN06,IN,6
"Pendleton, Robert",N00043007,I,CA49,CA,49
"Pendleton, Scott",N00040746,R,OK01,OK,1
"Penfold, Josh",N00042217,D,TN07,TN,7
"Penner, Kirk",N00041517,R,NE03,NE,3
"Pennington, Alonzo",N00042627,D,KY01,KY,1
"Pensler, Sandy",N00004108,R,MIS2,MI,S2
"Perenich, Stephen",N00041783,D,FL12,FL,12
"Perez Williams, Juanita",N00043206,D,NY24,NY,24
"Perez, Ana Maria",N00041478,D,AZ04,AZ,4
"Perez, John",N00040596,D,CA34,CA,34
"Perez, Marty",N00043462,R,TX27,TX,27
"Perez, N Ruben",N00026186,L,TX29,TX,29
"Perez, Tom",N00040750,R,SC01,SC,1
"Perkins, Jo Rae",N00035512,R,OR04,OR,4
"Perlmutter, Ed",N00027510,D,CO07,CO,7
"Perri, Chris",N00040984,D,TX25,TX,25
"Perri, Elizabeth",N00036567,3,NY14,NY,14
"Perry, Christy",N00042110,R,ID01,ID,1
"Perry, Paul",N00041180,D,PA07,PA,7
"Perry, Scott",N00034120,R,PA10,PA,10
"Persson, Carl Johan Mr.",N00042866,R,NC12,NC,12
"Peruski, Jeremy Michael",N00043327,I,MI10,MI,10
"Peterka, Jessica",N00040980,I,TX18,TX,18
"Peters , Herb",N00039914,D,CAS2,CA,S2
"Peters, Brandon",N00042616,D,FL02,FL,2
"Peters, Christopher",N00039395,R,IA02,IA,2
"Peters, Joe",N00042207,R,PA08,PA,8
"Peters, John",N00041391,D,OH12,OH,12
"Peters, Ruby",N00043371,I,OK04,OK,4
"Peters, Rudy",N00042781,R,CA15,CA,15
"Peters, Scott",N00033591,D,CA52,CA,52
"Petersen, Austin",N00038525,R,MOS2,MO,S2
"Peterson, Collin",N00004558,D,MN07,MN,7
"Peterson, David",N00030903,D,CA01,CA,1
"Peterson, Lea Marquez",N00042047,R,AZ02,AZ,2
"Petroff, John",N00042829,D,IN02,IN,2
