CRPName,CID,Party,DistIDRunFor,State,District
"Ashby, Ken",N00005697,L,TX04,TX,4
"Ashford, Brad",N00005293,D,NE02,NE,2
"Athey, Ted",N00040378,I,MD06,MD,6
"Aubin, Mark-Christian",N00039636,R,NY11,NY,11
"Auman, Lee",N00042373,D,AL04,AL,4
"Austin, Tony",N00042819,D,HI02,HI,2
"Austin, Trudy A",N00043568,I,TNS1,TN,S1
"Austinson, John Wayne",N00041359,D,MN01,MN,1
"Auxier, Randy",N00042425,3,IL12,IL,12
"Awgowhat, Leo",N00043537,I,TN09,TN,9
"Axne, Cindy",N00041104,D,IA03,IA,3
"Aycox, Kevin",N00043030,D,MS03,MS,3
"Ayers, Cynthia",N00041288,R,PAS2,PA,S2
"Ayyadurai, Shiva",N00041034,I,MAS1,MA,S1
"Ayyas, Shadi",N00042731,D,VA10,VA,10
"Azumah, Joel",N00036877,3,NY09,NY,9
"Baake, David",N00041374,D,NM02,NM,2
"Babin, Brian",N00005736,R,TX36,TX,36
"Baca, Joe",N00007089,D,CA35,CA,35
"Bacher, Steve",N00042205,D,PA01,PA,1
"Bacon, Donald John",N00037049,R,NE02,NE,2
"Bacon, Kevin",N00042198,R,OH12,OH,12
"Badey, George",N00034281,D,PA05,PA,5
"Baer, Dan",N00041559,D,CO07,CO,7
"Baer, Lauren",N00041785,D,FL18,FL,18
"Bailey, Bill",N00041741,D,TNS1,TN,S1
"Bailey, Tom",N00043179,L,NC13,NC,13
"Baird, Jim",N00041954,R,IN04,IN,4
"Bakari, Kamau",N00036336,3,NVS1,NV,S1
"Baker, Melina",N00042950,L,TX32,TX,32
"Baker, Scott Allen 1972",N00042057,R,AZ08,AZ,8
"Balaguer, Ariadna",N00042098,R,FL27,FL,27
"Balat, David",N00040763,R,TX02,TX,2
"Balchunis, Mary Ellen",N00036368,D,PA05,PA,5
"Balderson, Troy",N00042194,R,OH12,OH,12
"Baldwin, Tammy",N00004367,D,WIS1,WI,S1
"Ball, Dan",N00041761,R,CA36,CA,36
"Ball, Jody",N00039837,R,TN05,TN,5
"Ballinger, Jeffrey",N00043599,D,MA03,MA,3
"Ballock, Thomas",N00042122,I,IN04,IN,4
"Balter, Dana",N00041854,D,NY24,NY,24
"Banks, Jim",N00037185,R,IN03,IN,3
"Banks, Jim",N00041457,R,NY27,NY,27
"Banyas, Mickie Lou",N00043253,R,TN01,TN,1
"Barajas, Ricky",N00043218,D,OR01,OR,1
"Barash, Yona",N00041754,R,CA07,CA,7
"Bardel, Hank",N00025804,3,NY11,NY,11
"Baria, David Wayne",N00043077,D,MSS2,MS,S2
"Barkley, Mike",N00033200,D,CA10,CA,10
"Barletta, Lou",N00025495,R,PAS2,PA,S2
"Barlow, Dawn",N00042917,D,TN06,TN,6
"Barman, Charles",N00042997,R,WIS1,WI,S1
"Barnes, Levy Jr",N00041534,D,TX14,TX,14
"Barnett, Charles Rand",N00042201,D,OR03,OR,3
"Barnhart, Rachel",N00043209,D,NY25,NY,25
"Barnheiser, Robert",N00042352,R,MNS2,MN,S2
"Barone, Roger",N00040969,R,TX03,TX,3
"Barr, Andy",N00031233,R,KY06,KY,6
"Barr, Robert",N00041989,D,OH01,OH,1
"Barragan, Nanette",N00037019,D,CA44,CA,44
"Barrasso, John A",N00006236,R,WYS1,WY,S1
"Barreiro, Bruno",N00041091,R,FL27,FL,27
"Barrera, Roy",N00038828,D,TX27,TX,27
"Barrett, Michael",N00041556,I,AR04,AR,4
"Barrington, Mark",N00042801,R,CO07,CO,7
"Barris, Roger",N00043498,L,CO02,CO,2
"Barro, Mary Helen",N00042782,D,CA23,CA,23
"Barsoom, Raafat",N00042668,R,NJ07,NJ,7
"Bartee, Tobey",N00043488,3,MSS1,MS,S1
"Bartlett, John",N00041371,D,NJ11,NJ,11
"Bartley, Lori",N00037454,R,TX18,TX,18
"Barton, Joe",N00005656,R,TX06,TX,6
"Bartos, Jeff",N00041042,R,PAS2,PA,S2
"Barzee Flores, Mary",N00041494,D,FL25,FL,25
"Basler, Doug",N00036660,R,WA09,WA,9
"Bass, Bill",N00042476,I,NY24,NY,24
"Bass, Karen",N00031877,D,CA37,CA,37
"Bassilian, Ron",N00040664,R,CA37,CA,37
"Bateson, Regina",N00040849,D,CA04,CA,4
"Batie, Rontel",N00041779,D,FL05,FL,5
"Batiste, Donald",N00042258,D,TX18,TX,18
"Battista, Lisa",N00040854,D,CA10,CA,10
"Bauer, Jerome",N00043406,3,MOS2,MO,S2
"Baugh, Scott",N00038659,R,CA48,CA,48
"Baxter, Ralph",N00041717,D,WV01,WV,1
"Beal, Brent",N00041190,D,TX01,TX,1
"Beals, Jeff",N00041164,D,NY19,NY,19
"Bear, Henry John",N00042144,3,ME02,ME,2
