State,Name,CID,FECCandID
TX,Ben Leder,N00042923,H8TX05177
CA,Barbara Lee,N00008046,H8CA09060
CA,Herbert Lee,N00042785,H8CA39299
UT,Joshua C. Lee,N00043087,S8UT00259
MN,Michelle Lee,N00042859,H8MN08076
NV,Susie Lee,N00037247,H8NV03200
IN,Roland E Leech,N00042622,H8IN02193
TX,Jennie Lou Leeder,N00041406,H8TX11100
IL,Jeff Leef,N00040336,H6IL07305
TN,Brent Legendre,N00043535,H8TN07118
CA,Suzi Park Leggett,N00042387,H8CA39257
PA,Bryan Leib,N00037292,H6PA01165
AZ,Seth Leibsohn,N00041749,H8AZ09032
PA,Bill Leiner,N00041181,H8PA15161
IN,Jason Leineweber,N00041120,H8IN09073
OH,Melanie Leneghan,N00042483,H8OH12248
FL,Benjamin Robert Leon,N00042093,H8FL10058
OK,Leona Leonard,N00036577,H8OK05166
MN,Nick Leonard,N00042980,S8MN00602
TX,Ross Leone,N00029779,H8TX28203
ID,Dave Leroy,N00006303,H4ID01065
AZ,Debbie Lesko,N00042056,H8AZ08158
OH,Crystal Lett,N00042482,H8OH12230
TX,Miguel Levario,N00041535,H8TX19111
GA,Bruce Levell,N00040691,H8GA06351
NH,Stewart Levenson,N00041840,H8NH02267
MI,Andy Levin,N00042149,H8MI09118
CA,Mike Levin,N00040667,H8CA49058
NY,Naomi Levin,N00042884,H8NY10099
MI,Sander Levin,N00003950,H2MI17023
OH,McKenzie Levindofske,N00042691,H8OH09103
GA,Sam Levine,N00042102,H8GA06385
PA,Andrew Lewis,N00041863,H8PA11087
TX,Emmanuel Lewis,N00042942,H8TX24145
MN,Jason Lewis,N00038400,H6MN02149
VA,Jennifer Lewis,N00042728,H8VA06138
GA,John Lewis,N00002577,H6GA05217
NY,Jonathan Lewis,N00043038,H8NY16096
VA,Kathryn Lewis,N00043261,H8VA06187
IL,Marcus Lewis,N00035059,H8IL02104
IN,Mark Leyva,N00003796,H8IN01096
PA,Lindy Li,N00037054,H6PA07113
CA,Phil Liberatore,N00031464,H8CA39307
NY,Joseph Lieberman,N00043519,H8NY07087
NM,Bob Liebman,N00042878,H8NM01463
FL,Wayne Liebnitzky,N00037445,H6FL09195
WI,Beau Liegeois,N00041898,H8WI08045
AZ,David Lien,N00042051,H8AZ08109
CA,Ted Lieu,N00035825,H4CA33119
GU,Eric Lin,N00042817,H8GU01038
CT,Fred Linck,N00043392,S8CT00147
KY,Hank Linderman,N00042628,H8KY02080
TX,Desarae Lindsey,N00042943,H8TX25175
MA,Beth Lindstrom,N00041734,S8MA00326
TX,Charles Lingerfelt,N00031346,H0TX30032
ME,Max Linn,N00029980,S8ME00163
PA,Raymond Linsenmayer,N00042208,H8PA12101
IL,Daniel Lipinski,N00027239,H4IL03077
MI,Ellen Lipton,N00042151,H8MI09134
OH,Michael Little,N00042887,H8OH10135
CA,Patrick Little,N00043283,S8CA00606
MA,Patrick Littlefield,N00042138,H8MA03189
TX,Todd Litton,N00040968,H8TX02067
CA,Marla Livengood,N00042066,H8CA09144
UT,Larry Livingston,N00043081,S8UT00192
GA,William Llop,N00034773,H2GA11198
MD,Lisa Lloyd,N00041813,H8MD06184
WI,Sarah Lloyd,N00039430,H6WI06100
NJ,Frank LoBiondo,N00000851,H2NJ02037
IA,David Loebsack,N00027741,H6IA02146
TX,Mark Loewe,N00035990,H4TX21082
CA,Zoe Lofgren,N00007479,H4CA16049
KS,Laura Lombard,N00040709,H8KS04088
MO,Camille Lombardi-Olive,N00039804,H6MO07235
IL,Betsy Dirksen Londrigan,N00041342,H8IL13150
NJ,Steven Lonegan,N00041679,H8NJ05110
MO,Billy Long,N00030676,H0MO07113
WA,Carolyn Long,N00042301,H8WA03198
MI,Matt Longjohn,N00041509,H8MI06155
WI,Bob Look,N00043380,H8WI07112
NC,Steve Loor,N00041582,H8NC04090
IL,Raymond Lopez,N00042117,H8IL04167
IL,Mark Lorch,N00042416,H8IL04175
KY,Christina Lord,N00042634,H8KY04185
GA,Barry Loudermilk,N00035347,H4GA11061
SC,Steve Lough,N00043252,H8SC05257
AZ,Phil Lovas,N00042054,H8AZ08133
NV,John Love,N00041684,H8NV03192
UT,Mia Love,N00033842,H2UT04023
FL,Pam Love,N00041325,H8FL05124
WV,Shirley Love,N00042958,H8WV03121
TX,Steve Love,N00011114,H2TX26051
MA,Tracy Lovvorn,N00042641,H8MA02116
CA,Alan Lowenthal,N00033274,H2CA00104
NY,Nita M Lowey,N00001024,H8NY20056
UT,Joshua Lowry,N00042727,H8UT02263
WV,Conrad Lucas,N00042305,H8WV03105
OK,Frank D Lucas,N00005559,H4OK06056
OH,John Luchansky,N00027275,H4OH00028
NV,Greg Luckner,N00043201,H8NV04091
PA,Daniel Ludmir,N00042895,H8PA04124
NV,Ian Luetkehans,N00043195,H8NV02145
MO,Blaine Luetkemeyer,N00030026,H8MO09153
NM,Ben R Lujan,N00029562,H8NM03196
WA,Brian Luke,N00040049,H8WA02208
WA,Mike Luke,N00040126,S6WA00446
PA,Ashley Lunkenheimer,N00042704,H8PA07184
VA,Elaine Luria,N00042293,H8VA02111
TX,Justin Lurie,N00042227,H8TX02190
CA,Mary Ann Lutz,N00040305,H8CA32062
FL,Tamika Lyles,N00040810,S8FL00240
NY,Holly Lynch,N00041981,H8NY10081
OH,Matt Lynch,N00035946,H4OH14110
MA,Stephen F Lynch,N00013855,H2MA09072
CA,Dennis Lytton,N00042068,H8CA11090
CA,Steven Mac,N00040615,H8CA34167
NJ,Thomas MacArthur,N00036155,H4NJ03130
NE,Dennis Frank Macek,N00042985,S8NE00208
FL,Steven Machat,N00041329,H8FL26021
AZ,Richard Mack,N00042060,H8AZ08190
NH,Mark MacKenzie,N00042162,H8NH01228
PA,Ryan Mackenzie,N00041866,H8PA15195
IN,Stephen MacKenzie,N00039097,H8IN06103
OH,Andrew Mackey,N00040742,H8OH04062
IN,Joe Mackey,N00041118,H8IN04132
TN,James Mackler,N00041045,S8TN00311
NY,Patrick Madden,N00041167,H8NY22144
TN,Jack Maddux,N00040965,H8TN04081
CA,Virginia Madueno,N00041630,H8CA10175
FL,Cameron Magnuson,N00040672,H8FL15156
WA,Todd Mahaffey,N00043615,H8WA08296
NV,Bobby Mahendra,N00039065,S6NV00234
AR,Josh Mahony,N00041300,H8AR03074
WA,Robert Mair,N00043604,H8WA01085
DC,Bruce Majors,N00035033,H2DC00096
CO,Mary Malarsie,N00042796,H8CO03226
ID,Luke Malek,N00041648,H8ID01140
AZ,Anita Malik,N00041747,H8AZ06103
PA,Dean Malik,N00031530,H0PA08122
TX,Silky Malik,N00042223,H8TX02158
NJ,Tom Malinowski,N00041843,H8NJ07223
VA,Karen Mallard,N00041890,H8VA02103
CA,Patrick Malloy,N00038614,H6CA50258
MA,Bopha Malone,N00042141,H8MA03213
NY,Carolyn B Maloney,N00000078,H2NY14037
NY,Sean Patrick Maloney,N00034277,H2NY22139
OH,Joe Manchik,N00039146,H6OH12119
WV,Joe Manchin,N00032838,S0WV00090
OH,Josh Mandel,N00033174,S2OH00170
NJ,Lisa Mandelblatt,N00040930,H8NJ07199
FL,Javier Manjarres,N00043144,H8FL22079
OH,Pat Manley,N00042487,H8OH12289
TX,Christine Mann,N00040987,H8TX31033
MD,Chelsea Manning,N00042561,S8MD00260
NM,Chris Manning,N00043188,H8NM03246
NC,Kathy Manning,N00042159,H8NC13067
MD,Roger Manno,N00041576,H8MD06150
TN,Nicholas Mantanona,N00040180,H6TN09431
TX,Dale S Mantey,N00041200,H8TX17131
TX,Chris Mapp,N00035790,H8TX27080
IL,Anthony March,N00041345,H8IL15064
TX,Kenny Marchant,N00026710,H4TX24094
AZ,Tony Margalis,N00042377,H8AZ05170
MA,Louis Marino,N00041664,H8MA03080
PA,Tom Marino,N00031777,H0PA10078
CA,Juan Markos,N00040861,H8CA28177
NV,Warren Markowitz,N00039705,H6NV03162
AZ,Doug Marks,N00041273,S8AZ00130
NC,Jennifer Marshall,N00040622,H8NC05055
KS,Roger Marshall,N00037034,H6KS01179
TX,Ron Marshall,N00040834,H8TX32072
IL,Zane Marshall,N00041114,H8IL16112
PA,Michael Marsicano,N00037294,H6PA11073
IL,James Marter,N00038562,H8IL16153
NY,Joe Marthone,N00034790,H8NY05115
SD,Chris Martian,N00040963,H8SD01071
NH,Andy Martin,N00035510,H6NH02196
AZ,Brandon Ray Martin,N00042605,H8AZ02201
HI,Ernie Martin,N00042107,H8HI01218
MO,Henry Martin,N00041830,H8MO06092
MD,Jenica Martin,N00042441,H8MD01235
CA,Paul Martin,N00043130,H8CA48167
CA,Richard Martin,N00041753,H8CA04228
MA,Robert Martin,N00042845,H8MA04070
AR,SusanAnn Martin,N00042774,H8AR04155
NM,Damon Martinez,N00041372,H8NM01380
NJ,Ryan Martinez,N00043187,H8NJ11258
NM,Tony Martinez,N00041453,H8NM02149
WA,Tola Marts,N00041241,H8WA08130
NY,Emily Martz,N00041384,H8NY21260
NE,Larry Marvin,N00030133,S8NE00141
CA,Brian Maryott,N00042392,H8CA49108
GA,Gregory Marzett,N00042413,H8GA12086
MD,Mia Mason,N00042759,S8MD00294
OR,Raz Mason,N00042702,H8OR02187
TX,Robert Mason,N00041876,H8TX03131
TN,Jeremy Massengale,N00043255,H8TN03216
KY,Thomas Massie,N00034041,H2KY04121
FL,Brian Mast,N00037269,H6FL18097
CA,Mike Masterman-Smith,N00042071,H8CA25124
PA,Paul Masters,N00042494,H8PA06095
NY,David Mastrianni,N00042438,H8NY21336
PA,Douglas Ph.D. Mastriano,N00042710,H8PA09057
NC,Japheth Matemu,N00042657,H8NC02136
TX,Todd Maternowski,N00041212,H8TX32114
TN,Judd Matheny,N00041531,H8TN06086
DC,Sumati Mathur,N00043141,H8DC08013
MA,Juana Matias,N00041810,H8MA03122
AZ,Mary Sally Matiella,N00041062,H8AZ02144
TN,Jimmy Matlock,N00041595,H8TN02127
MD,Liz Matory,N00042642,H8MD02118
CA,Doris O Matsui,N00027459,H6CA05195
CA,Tatiana Matta,N00041632,H8CA23103
MS,Victor G. Maurice,N00043408,S8MS00329
IA,Eddie J. Mauro,N00041794,H8IA03181
NY,Jim Maxwell,N00042477,H8NY25097
AL,Mary Maxwell,N00041437,S8AL00456
AL,Justin Tyler May,N00042045,H8AL88014
NC,Wendy Ella May,N00041141,H8NC02078
KS,Doug Mays,N00043426,H8KS02231
MA,Nadeem Mazen,N00041807,H8MA03098
MA,Nadeem Mazen,N00041353,H8MA07024
IL,Kelly Mazeski,N00041110,H8IL06121
UT,Ben McAdams,N00042013,H8UT04053
VA,Ryan McAdams,N00042294,H8VA04026
TX,Roman McAllen,N00041047,S8TX00293
CA,Angela Mcardle,N00040661,H8CA34324
CO,Gabriel McArthur,N00040617,H8CO06211
GA,Lucy McBath,N00042813,H8GA06393
AL,Arlester (Mac) Mcbride,N00041916,S8AL00472
GA,David McCaigue,N00042101,H8GA05114
GA,Josh Mccall,N00041101,H8GA09058
TX,Matt McCall,N00035273,H4TX21041
KS,Mike McCamon,N00042625,H8KS03148
UT,Reed C. Mccandless,N00043089,S8UT00275
NJ,John McCann,N00025044,H8NJ05136
TN,Kevin McCants,N00043571,S8TN00451
OK,John Mccarthy,N00039822,H6OK02258
MT,Kelly Mccarthy,N00040732,H8MT01174
CA,Kevin McCarthy,N00028152,H6CA22125
MI,Mike McCarthy,N00043437,H8MI10124
MO,Claire McCaskill,N00027694,S6MO00305
TX,Michael McCaul,N00026460,H4TX10093
PA,Greg Mccauley,N00042705,H8PA07192
PA,Erin McClelland,N00035304,H4PA12043
CA,Tom McClintock,N00006863,H8CA04152
NE,Jessica McClure,N00041148,H8NE01081
UT,Melanie McCoard,N00043061,H8UT03451
MN,Betty McCollum,N00012942,H0MN04049
KS,Joseph Mcconnell,N00041121,H8KS03080
AL,Lizzetta Hill Mcconnell,N00042773,H8AL01082
SC,William Mccorkle,N00043043,H8SC04334
CO,Karen McCormick,N00041082,H8CO04091
NJ,Lisa McCormick,N00043413,S8NJ00525
NC,Dan McCready,N00041145,H8NC09123
PA,Mark McDade,N00040953,H8PA10162
MS,Chris McDaniel,N00035663,S4MS00120
MD,George McDermott,N00026605,H4MD04071
WA,David McDevitt,N00038854,H6WA03184
UT,Darlene McDonald,N00041412,H8UT04046
TX,Ronnie McDonald,N00034566,H2TX27216
TX,Jan McDowell,N00038290,H6TX24149
NH,Deaglan McEachern,N00043183,H8NH01251
VA,Donald McEachin,N00039327,H6VA04061
TX,John B McElligott,N00042941,H8TX22305
NY,Adam McFadden,N00043450,H8NY25139
TX,Elliott McFadden,N00040983,H8TX21166
AZ,Garrick McFadden,N00040844,H8AZ06087
NM,Steve McFall,N00037051,H6NM03059
AL,Brian Mcgee,N00041268,S8AL00399
PA,John Mcginty,N00040748,H8PA07093
NV,Dean McGonigle,N00043446,H8NV04125
MA,James P McGovern,N00000179,H4MA03022
NJ,Mark McGovern,N00042666,H8NJ02190
KY,Amy McGrath,N00041505,H8KY06164
AZ,Judith McHale,N00040845,H8AZ08067
NC,Patrick McHenry,N00026627,H4NC10047
GA,Jimmy McInnis,N00040692,H8GA08068
OK,Elijah Mcintosh,N00043215,H8OK02163
TX,Ryan Darrell Mckay,N00042292,H8TX35034
TX,Shirley McKellar,N00033834,H2TX01062
OK,John W McKenna,N00041857,H8OK04060
NV,David Owen McKeon,N00041467,H8NV03150
WV,David McKinley,N00031681,H0WV01072
TN,Todd McKinley,N00041697,H8TN01087
KS,Dennis Mckinney,N00040715,H8KS04146
OR,Jamie McLeod-Skinner,N00041421,H8OR02161
PA,Doug Mclinko,N00042206,H8PA10188
IL,Pat McMahan,N00041340,H8IL12111
NC,Beniah McMiller,N00040925,H8NC13059
NY,Nate McMurray,N00042478,H8NY27176
ID,Christina McNeil,N00043159,H8ID01207
NC,Frank McNeill,N00042461,H8NC08083
CA,Jerry McNerney,N00026926,H4CA11081
GA,Bruce McPherson,N00041789,H8GA02061
AR,Lee McQueen,N00041744,H8AR04122
AZ,Martha McSally,N00033982,S8AZ00221
TN,John McStay,N00043254,H8TN02234
CA,Scott Mcvarish,N00041933,H8CA25116
CA,Richard Thomas Mead,N00041277,S8CA00374
OK,Tyson Todd Meade,N00043373,H8OK05174
NC,Cortland Meader,N00041365,H8NC05071
NC,Mark R Meadows,N00033631,H2NC11080
CA,David Medway,N00042790,H8CA49140
PA,Patrick Meehan,N00031134,H0PA07082
NY,Gregory W Meeks,N00001171,H8NY06048
TX,Edward Meier,N00040990,H8TX32106
CA,Kenneth Mejia,N00039754,H6CA34237
CA,John Melendez,N00040806,S8CA00309
CA,Michael Melillo,N00042069,H8CA18079
NY,Boyd Melson,N00040936,H8NY11063
TX,Rixi Melton,N00040765,H8TX21141
CO,Arn Menconi,N00040111,H8CO03242
CA,Matt Mendoza,N00037022,H6CA53062
CA,Sandra Mendoza,N00040648,H8CA34191
NJ,Robert Menendez,N00000699,S6NJ00289
NY,Grace Meng,N00034547,H2NY06116
AZ,Scott Menor,N00041751,H8AZ09057
CA,Dale Mensing,N00035352,H4CA02098
CA,Juan Mercado,N00039768,H6CA51082
NH,Jay Mercer,N00040036,H6NH02220
IL,David Merkle,N00042415,H8IL02120
PA,Max Merrill,N00042709,H8PA09040
CA,Bill Merryman,N00042382,H8CA22188
NY,Anne Messenger,N00041389,H8NY24082
IN,Luke Messer,N00012546,S8IN00163
MO,John Messmer,N00042155,H8MO02232
NH,Mindi Messmer,N00042160,H8NH01202
LA,Charles Jr Metcalf,N00042132,H8LA03052
LA,Mimi Methvin,N00043163,H8LA03094
MN,Jason Metsa,N00042860,H8MN08084
PA,Dan Meuser,N00029416,H8PA10147
IN,John Meyer,N00039239,H6IN01207
MT,John Meyer,N00043351,H8MT01265
NV,Gary Anthony Meyers,N00042766,S8NV00172
UT,Larry Meyers,N00042365,S8UT00168
IA,Ryan Meyers,N00040697,H8IA04080
CA,Raymond Meza,N00040616,H8CA34175
NV,Barry Michaels,N00027885,S8NV00214
NY,Costa Michailidis,N00041685,H8NY03169
PA,Valerie Mihalek,N00041995,H8PA08158
OH,Michael Milisits,N00040941,H8OH10101
CA,Alexander Miller,N00041485,H8CA52128
MD,Aruna Miller,N00040909,H8MD06143
NY,Bruce Gordon Mr. Miller,N00042471,H8NY01205
WV,Carol Miller,N00041542,H8WV03097
FL,Christopher Austin Miller,N00041092,H8FL27045
IL,Darrel Miller,N00031493,H4IL18117
ID,Donald Roy Miller,N00041107,H8ID01116
PA,Drew Miller,N00042501,H8PA18264
GA,Gavin Miller,N00040558,H8GA11021
IN,Glen Scott Miller,N00040706,H8IN08133
NV,Jeff Miller,N00039702,H8NV04067
OH,Johnathan Miller,N00041176,H8OH15126
OH,Joseph Miller,N00042680,H8OH04096
NC,Justin Miller,N00042157,H8NC02128
TN,Lee Thomas Miller,N00042006,H8TN07084
FL,Loretta Miller,N00040881,H8FL15164
TX,Mary Miller,N00042362,S8TX00343
FL,Mike Miller,N00041326,H8FL07062
OR,Preston L Miller,N00043220,H8OR01254
MN,Tim Miller,N00040919,H8MN07086
CA,Anthony Mills,N00043109,H8CA05209
FL,John Mills,N00039506,H6FL01143
CA,Jordan Mills,N00043134,H8CA49199
CA,David Min,N00040866,H8CA45148
MN,Colin Minehart,N00041131,H8MN01261
IL,Chris Minelli,N00040898,H8IL16104
IN,J D Miniear,N00033888,H2IN07096
AZ,Catherine Miranda,N00042050,H8AZ07044
OH,John Mitchel,N00013416,H0OH07070
VT,Ben Mitchell,N00042533,H8VT01057
TN,Danielle Mitchell,N00041187,H8TN03208
MA,Darius Mitchell,N00041279,S8MA00292
CA,Kevin Mitchell,N00043136,H8CA51096
TX,Mark Mitchell,N00042239,H8TX06225
MI,Paul Mitchell,N00036274,H4MI04118
CO,Todd Mitchem,N00041771,H8CO02210
NY,Tracy Mitrano,N00041688,H8NY23183
TX,Adrian Mizher,N00042512,H8TX06332
VA,Bert Mizusawa,N00031422,S8VA00321
DE,Christopher Mockerman,N00041322,H8DE01036
VA,Julien Modica,N00029448,H0VA10129
MN,Fasil Moghul,N00041672,H8MN04083
IL,Neill Mohammad,N00040705,H8IL16096
NY,Radhakrishna Mohan,N00041982,H8NY11139
TN,Christopher Monday,N00041188,H8TN06078
MO,Tony Monetti,N00041038,S8MO00137
NC,Christopher Money,N00041838,H8NC11111
NV,Mike Monroe,N00028628,H4NV04033
AZ,Steve Montenegro,N00042058,H8AZ08174
GA,Chalis Montgomery,N00041332,H8GA10148
TX,Carmen Montiel,N00042287,H8TX29102
GA,Dan Moody,N00040682,H8GA06260
AR,Josh Moody,N00043097,H8AR03082
MI,John Moolenaar,N00036275,H4MI04126
UT,Kent Moon,N00043057,H8UT03410
WV,Alex Mooney,N00033814,H4WV02080
AL,Barry Moore,N00041295,H8AL02171
VA,Charlotte Moore,N00043063,H8VA06161
SC,Dave Moore,N00043454,H8SC03088
CA,David Moore,N00043276,S8CA00531
WI,Gwen Moore,N00026914,H4WI04183
IN,Kyle Moore,N00042578,H8IN05204
AL,Roy Moore,N00041027,S8AL00340
SC,Sidney Moore,N00036478,H8SC05265
GA,Patrick Moorehead,N00041646,H8GA10155
AZ,Danny Morales,N00042607,H8AZ02227
IN,Diego Morales,N00041657,H8IN04157
TX,Hector Morales,N00040986,H8TX29045
NY,Joseph D Morelle,N00043207,H8NY25105
CO,Dominick Moreno,N00041085,H8CO07078
IL,Joe Moreno,N00042420,H8IL04217
MD,Marcia Morgan,N00043485,S8MD00385
MI,Matt Morgan,N00040912,H8MI01149
PA,John Morganelli,N00042212,H8PA15278
SC,Will Morin,N00042216,H8SC04235
PA,Elizabeth Moro,N00040952,H8PA07127
TX,Ricky Jr Morris,N00042988,S8TX00400
WV,Patrick Morrisey,N00041555,S8WV00143
CA,"William ""Rodriguez"" Morrison",N00040660,H8CA34316
IL,John Morrow,N00008363,H6IL02199
CA,Jessica Morse,N00041447,H8CA04210
NV,Michelle Mortensen,N00042177,H8NV03218
MD,John Moser,N00041507,H8MD07075
TX,Laura Moser,N00040973,H8TX07116
AL,Mike Moses,N00041296,H8AL04078
AZ,Jim Moss,N00041616,S8AZ00155
MT,Lynda Moss,N00041973,H8MT01224
IN,Richard Moss,N00038672,H6IN08228
MD,Matt Mossburg,N00041815,H8MD06200
SC,John Marshall Mosser,N00043248,H8SC04383
UT,Marla Mott-Smith,N00040996,H8UT04020
CA,Kevin Mottus,N00036504,S8CA00614
MA,Seth Moulton,N00035431,H4MA06090
WA,UNCLE MOVER,N00039070,H8WA02182
NM,Paul Moya,N00042170,H8NM01430
FL,Debbie Mucarel-Powell,N00041561,H8FL26039
MA,Michael Mullen,N00043431,H8MA03221
SC,Tom Mullikin,N00040752,H8SC05109
OK,Markwayne Mullin,N00033410,H2OK02083
OH,TJ Mulloy,N00042700,H8OH16181
PA,Robert Multari,N00043246,H8PA16086
OH,Keith Mundy,N00039150,H6OH16136
NJ,John Muniz,N00043357,H8NJ08072
MN,Patrick Munro,N00036687,H6MN06199
PA,Dan Muroff,N00037529,H8PA07101
CT,Christopher S Murphy,N00027566,S2CT00132
NC,Dan Murphy,N00041139,H8NC02052
NV,Jim Murphy,N00034542,H2NV03138
DE,Lee H Murphy,N00043502,H8DE01044
SC,Les Murphy,N00040960,H8SC05216
CO,Marcus Murphy,N00042614,H8CO05171
FL,Stephanie Murphy,N00040133,H6FL07140
PA,Tim Murphy,N00024992,H2PA18143
OH,Lavitta Murray,N00042585,H8OH11307
MT,Ronald Murray,N00041443,S8MT00226
CA,Morgan Murtaugh,N00042795,H8CA53084
AZ,Bob Musselwhite,N00043002,H8AZ08232
MN,Regina Mustafa,N00041671,H8MN01311
IL,Sameena Mustafa,N00041567,H8IL05123
WI,Cathy Myers,N00041426,H8WI01131
TX,Paul Myers,N00042253,H8TX11134
OH,Steve Myers,N00040530,H8OH02108
CA,Mario Nabliba,N00043275,S8CA00523
NY,Jerrold Nadler,N00000939,H2NY17071
CA,Johnny Nalbandian,N00041480,H8CA28185
AL,Charles Nana,N00039033,S6AL00369
CA,Grace Napolitano,N00006789,H8CA34068
SC,Sonny Narang,N00043453,H8SC02122
RI,Bobby Nardolillo,N00040819,S8RI00110
TX,Susan Narvaiz,N00033667,H2TX35029
OR,Joey Nations,N00042891,H8OR05206
CA,Omar Navarro,N00037584,H6CA44145
KY,Joshua Neace,N00040903,H8KY04136
OR,Jennifer Neahring,N00042491,H8OR02179
NY,Diane Neal,N00042675,H8NY19249
MA,Richard E Neal,N00000153,H8MA02041
OH,Rick Neal,N00041590,H8OH15134
IN,James Nease,N00042832,H8IN04264
PA,Bill Neff,N00040555,H6PA16353
TX,William Negley,N00042263,H8TX21257
NH,Steve Negron,N00041841,H8NH02275
CO,Joseph Neguse,N00041080,H8CO02160
WI,Paul Nehlen,N00039601,H6WI01226
AL,Rick Neighbors,N00041297,H8AL04086
FL,Bill Nelson,N00009926,S8FL00166
MN,Carla Nelson,N00041827,H8MN01329
CA,John Nelson,N00041760,H8CA26130
TX,Kevin Nelson,N00042515,H8TX10136
NY,Patrick Nelson,N00040635,H2NY21115
IL,Preston Nelson,N00042426,H8IL12160
CA,Shawn Nelson,N00042385,H8CA39232
AK,Thomas John Nelson,N00043496,H8AK01031
GA,Trent Nesmith,N00041496,H8GA12052
OH,James Neu,N00039142,H6OH05097
MN,Jim Newberger,N00041736,S8MN00552
WV,Jack Newbrough,N00043313,S8WV00168
WA,Dan Newhouse,N00036403,H4WA04104
GA,K Ross Newland,N00037323,H8GA13019
IL,Marie Newman,N00040891,H8IL03102
NM,Monty Newman,N00029708,H8NM02073
TX,Shane Newsom,N00042987,S8TX00392
MD,William Newton,N00037600,H6MD07434
TX,Danny Nguyen,N00042011,H8TX22255
CA,Damien Nichols,N00040645,H8CA28169
OK,Jason Nichols,N00042200,H8OK02148
MO,Kristi Nichols,N00032147,S0MO00290
WI,Kevin Nicholson,N00041623,S8WI00216
TN,Sarah Ashley Nickloes,N00042915,H8TN02218
TX,David Niederkorn,N00042229,H8TX03149
MI,Niles Niemuth,N00043601,H8MI12120
KS,Tom Niermann,N00041349,H8KS03114
VA,Janelle Noble,N00040999,H8VA07078
MN,Rick Nolan,N00021207,H2MN08111
NJ,Don Norcross,N00036154,H4NJ01084
CA,Craig Nordal,N00042791,H8CA49157
NY,Scott Noren,N00030614,S0NY00402
SC,Ralph Norman,N00027783,H8SC05158
MO,Lance Norris,N00043347,H8MO07249
AL,Phil Norris,N00033875,H8AL04060
DC,Eleanor Holmes Norton,N00001692,H0DC00058
PA,Marty Nothstein,N00042209,H8PA15245
CA,Devin Nunes,N00007248,H8CA20059
MI,Cooper Nye,N00042647,H8MI11379
CT,Jennifer T. Nye,N00043499,H8CT01145
VA,David Nygaard,N00042530,H8VA02129
CA,Dotty Nygard,N00040852,H8CA10118
ND,Thomas E. O''Neill,N00043412,S8ND00138
OH,Carol O'Brien,N00042196,H8OH12206
OH,Danny O'Connor,N00042586,H8OH12297
KY,Sayre Christian O'Cull,N00040719,H8KY04128
MO,Craig O'Dear,N00042982,S8MO00202
NY,James O'Donnell,N00042674,H8NY18274
NH,Justin O'Donnell,N00041150,H8NH02242
CA,Ronald O'Donnell,N00040850,H8CA08096
AZ,Tom O'Halleran,N00037515,H6AZ01199
MS,Shawn O'Hara,N00003338,S4MS00062
CT,Ruby O'Neill,N00043420,H8CT05237
TX,Beto O'Rourke,N00033540,S8TX00285
NH,Terence O'Rourke,N00041980,H8NH01194
PA,Kevin Oakes,N00040957,H8PA17043
MO,Richonda Oaks,N00043340,H8MO05136
CA,Laura Oatman,N00040869,H8CA48043
NY,Alexandria Ocasio-Cortez,N00041162,H8NY15148
VA,Thomas Oh,N00042730,H8VA08159
FL,Michael Ohevzion,N00042812,H8FL27201
WV,Richard Ojeda,N00036034,H8WV03048
TX,Julie Oliver,N00042278,H8TX25159
GA,Rusty Oliver,N00041644,H8GA03069
OH,Richard A Olivito,N00042682,H8OH06125
WI,Scott Olmer,N00041246,H8WI06080
TN,Martin Olsen,N00041696,H8TN01079
AZ,Robert Dean Olsen,N00043104,H8AZ08240
WA,Brayden Olson,N00041896,H8WA08213
ME,Craig Olson,N00041667,H8ME02177
CA,Lee W Olson,N00042597,S8CA00465
TX,Pete Olson,N00029285,H8TX22107
MT,Al Olszewski,N00041039,S8MT00200
MN,Ilhan Omar,N00043581,H8MN05239
CA,Stelian Onufrei,N00041448,H8CA48092
WA,John Orlinski,N00030378,S8WA00327
PA,Jason Ortitay,N00042003,H8PA18249
NC,Gabriel Ortiz,N00042865,H8NC12119
MO,Mark Osmack,N00041512,H8MO02216
CA,Cristina Osmena,N00043115,H8CA14185
GA,Jon Ossoff,N00040675,H8GA06195
PA,Brent Ottaway,N00043243,H8PA13133
CA,Robert Owen,N00040857,H8CA23095
WA,Tim Owen,N00043631,S8WA00335
TN,Colleen Owens,N00043536,H8TN08116
MD,Hubert Owens,N00043020,H8MD02126
IL,Kyle Owens,N00043323,H8IL16187
AZ,Tyler Pace,N00043103,H8AZ05188
OK,Clay Padgett,N00042889,H8OK02155
CA,Mark Padilla,N00040652,H8CA34233
VT,H Brooke Paige,N00034951,S2VT00144
MN,Richard Painter,N00043075,S8MN00628
KY,Rhonda Palazzo,N00042632,H8KY03203
MS,Steven Palazzo,N00031958,H0MS04120
CA,Mary Pallant,N00027796,H6CA24246
NJ,Frank Jr Pallone,N00000781,H8NJ03073
AL,Gary Palmer,N00035691,H4AL06098
TX,Michael Palmer,N00042221,H8TX02133
OH,Susan Palmer,N00042587,H8OH16157
CA,Nils Palsson,N00039379,H6CA05344
CA,Tom Palzer,N00037157,S6CA00675
WI,Tom Palzewicz,N00041716,H8WI05165
TX,Chetan Panda,N00041708,H8TX25134
CA,Jimmy Panetta,N00038601,H6CA20152
VT,Jasdeep Pannu,N00041553,S8VT00125
