State,Name,CID,FECCandID
MA,Carlos Hernandez,N00041125,H8MA06091
TX,Christian Hernandez,N00041533,H8TX09120
CA,Sara Hernandez,N00040613,H8CA34142
TX,Sema Hernandez,N00041291,S8TX00327
NM,Yvette Herrell,N00041454,H8NM02156
UT,Chris Herrod,N00034218,H8UT03253
PA,Judy Herschel,N00041396,H8PA10170
MI,Marc Herschfus,N00043580,H8MI14100
NY,John G Hertzler,N00041170,H8NY23159
NJ,Alison Heslin,N00042669,H8NJ11209
NJ,Martin Hewitt,N00041155,H8NJ11159
GA,Jody B Hice,N00032243,H0GA07125
OH,Adam Hickey,N00041392,H8OH14145
NY,Sander Hicks,N00042183,H8NY12137
VA,Tom Hicks,N00041413,H8VA01287
CA,Juan Hidalgo,N00038615,H8CA51062
NY,Brian M Higgins,N00027060,H4NY27076
LA,Clay Higgins,N00039953,H6LA03148
CA,David Hildebrand,N00040807,S8CA00317
NM,Madeline Hildebrandt,N00040739,H8NM02115
TX,Robert Hildt,N00043540,H8TX23170
MN,Brian Hile,N00043170,H8MN06104
MI,Kimberly Hill Knott,N00043168,H8MI13326
TN,Dean Hill,N00043570,S8TN00444
AR,French Hill,N00035792,H4AR02141
GA,Judson Hill,N00040676,H8GA06203
CA,Katie Hill,N00040644,H8CA25074
CO,Owen Hill,N00040875,H8CO05114
MI,Ryan Hill,N00042857,H8MI13300
VA,Shak Hill,N00035503,H8VA10155
MS,Tracella Lou O'Hara Hill,N00026625,H4MS04080
NY,Thomas J Hillgardner,N00043035,H8NY06113
MI,Jerome C Hilliard,N00042852,H8MI04101
CT,Jim Himes,N00029070,H8CT04172
AL,Clayton Hinchman,N00041298,H8AL05208
FL,Yvonne Hayes Hinson,N00041778,H8FL03038
HI,Mazie K Hirono,N00028139,S2HI00106
MO,Renee Hoagenson,N00040921,H8MO04071
ME,Will Hoar,N00041816,H8ME02193
AL,Rich Hobson,N00042044,H8AL02205
CA,Charles Junior Hodge,N00036902,S8CA00341
MD,Amie Hoeber,N00037451,H6MD06212
PA,Joseph Hoeffel,N00042896,H8PA04132
OR,Richard Hofer,N00042490,H8OR01213
WA,Steve Hoffman,N00042995,S8WA00236
MO,Dan Hogan,N00039802,H6MO03358
MO,John Hogan,N00043399,S8MO00244
ME,Mark Holbrook,N00038692,H6ME01207
MO,Benjamin Holcomb,N00042654,H8MO07215
CA,Jessica Holcombe,N00040847,H8CA01190
FL,David Holden,N00041328,H8FL19067
IA,Bryan Holder,N00036798,H4IA03149
NC,George Holding,N00033399,H2NC13110
TX,Eric Holguin,N00041883,H8TX27056
IN,George Holland,N00003754,H6IN06024
NY,Joe Holland,N00042563,S8NY00207
MS,Matthew Holland,N00043350,H8MS03208
IN,Trey Hollingsworth,N00038429,H6IN09176
AL,Bill Holtzclaw,N00041626,H8AL05216
UT,Adam Homer,N00040769,H8UT04012
IN,Brandon Hood,N00042125,H8IN09123
TX,Jason Hope,N00042949,H8TX31066
SC,Bill Hopkins,N00042719,H8SC07055
NJ,Michael Starr Hopkins,N00042356,S8NJ00475
UT,Randy Hopkins,N00043052,H8UT02271
OK,Kendra Horn,N00041394,H8OK05109
NJ,Mitchell Horn,N00042765,S8NJ00491
FL,Phil Hornback,N00042096,H8FL15198
PA,Ben Hornberger,N00041742,H0PA09039
NV,Fred Horne,N00039563,H6NV01224
NC,Margot Horney,N00041677,H8NC06087
IN,Andy Horning,N00034658,S2IN00109
NV,Steven Horsford,N00033638,H2NV04011
CA,John Horst,N00038616,H6CA52148
NC,Kyle Horton,N00041143,H8NC07101
IL,John Hosta,N00036091,H4IL14124
TX,Robert Steven Hostetler,N00042520,H8TX20143
PA,Chrissy Houlahan,N00040949,H8PA06087
MN,Karin Housley,N00042354,S8MN00586
MD,Albert Binyahmin Howard,N00042977,S8MD00310
ID,William Scott Howard,N00042821,H8ID01199
PA,Alan Howe,N00040954,H8PA11053
NC,Barbara Howe,N00002271,H8NC04124
MO,Alexander Howell,N00043343,H8MO05169
IL,Amanda Howland,N00038644,H6IL06166
CA,Ted Howze,N00043111,H8CA10209
MD,Steny H Hoyer,N00001821,H2MD05155
TN,Renee Hoyos,N00041699,H8TN02176
VA,Garry Hubbard,N00041713,H8VA02087
NC,Richard Hudson,N00033630,H2NC08185
KS,Tim Huelskamp,N00027649,H6KS01146
CA,Emilio Huerta,N00038603,H6CA21218
CA,Bob Huff,N00042384,H8CA39224
CA,Jared Huffman,N00033030,H2CA06259
IL,Ryan Huffman,N00041649,H8IL06162
NC,Scott Huffman,N00042582,H8NC08091
VA,Roger Dean Huffstetler,N00040998,H8VA05114
MN,Dave Hughes,N00039308,H6MN07304
TN,Steven David Mr Hughes,N00042357,S8TN00345
MS,Whit Hughes,N00042460,H8MS03141
WA,Jack Hughes-Hageman,N00043614,H8WA08288
TX,Awbrey Hughlett,N00040766,H8TX32064
NJ,Bob Hugin,N00042986,S8NJ00509
MI,Bill Huizenga,N00030673,H0MI02094
TX,Jay Hulings,N00041707,H8TX23147
OK,David Hullum,N00039820,H6OK01193
AR,Natashia Burch Hulsey,N00041058,H8AR02126
IL,Randy Hultgren,N00031104,H0IL14080
GA,Joe Hunt,N00041792,H8GA10163
FL,Chris Hunter,N00042095,H8FL12088
CA,Duncan D Hunter,N00029258,H8CA52052
WY,Greg Hunter,N00025387,H8WY01062
WA,Robert Hunziker,N00041894,H8WA08197
OH,Ryan Hupp,N00042696,H8OH15142
TX,Will Hurd,N00031417,H0TX23086
NV,Jesse Douglas Hurley,N00043193,H8NV02129
IN,Mark Hurt,N00040812,S8IN00122
NY,Scott Hutchins,N00043522,H8NY12152
WA,Susan Hutchison,N00043629,S8WA00319
MN,Forest Hyatt,N00042981,S8MN00610
MS,Cindy Hyde-Smith,N00043298,S8MS00261
SC,Mal Hyman,N00038788,H6SC07018
NY,Sara Idleman,N00042185,H8NY21328
TX,Michael Idrogo,N00005963,H8TX28039
WA,Kari Olavi Ilonummi,N00043612,H8WA05219
TX,Josh Imhoff,N00042276,H8TX24129
HI,Kaniela Ing,N00041945,H8HI01192
GA,Robert Ingham,N00043153,H8GA12094
NC,Clifton Jr Ingram,N00043177,H8NC11152
UT,Carl Ingwell,N00040994,H8UT03147
FL,Augustus Sol Invictus,N00037398,S6FL00301
PA,Pamela M Iovino,N00041468,H8PA18165
TX,Jason Isaac,N00042259,H8TX21216
AL,Tabitha Isner,N00041743,H8AL02197
CA,Darrell Issa,N00007017,H0CA48024
IN,Roseann P. Ivanovich,N00042827,H8IN01179
MN,Gregg Iverson,N00013477,S0MN00203
TX,Sheila Jackson Lee,N00005818,H4TX18054
OK,Brian Jackson,N00041177,H8OK02130
WA,Chuck Jackson,N00007902,S8WA00129
VA,Earl W Sr Jackson,N00033179,S2VA00167
OK,Jarrin Jackson,N00038770,H6OK02233
MI,Shanelle Jackson,N00034406,H2MI13154
NJ,Peter Jacob,N00038438,H6NJ07151
